ROOT,Root gender,fixed classes,paradigm saturation (sg/pl)
POPE,masc,IV,partial
WINE,masc,II,partial
HANDKERCHIEF,masc,II,partial
GLASS,masc,II,partial
WALL,masc,II,partial
KEYB,masc,II,partial
CAPA,masc,II,partial
SHIRTA,fem,I,partial
PEAR,fem,I,partial
MOUSE,masc,II,partial
OFFSPRING,both,I / II,full
MILLER,masc,II,partial
HARNESSING,masc,II,partial
CROW,masc,II,partial
PUDDING,masc,II,partial
SOCK,fem,I,partial
MEDAL,fem,I,partial
TAMBOURINEDIM,masc,II,partial
PROBOSCIS,fem,III,partial
FLOWER,masc,III,full
FLY,fem,I,partial
EARTHWORM,masc,II,partial
WORM,masc,III,full
LINEA,fem,I,partial
BUNCHA,masc,II,partial
BULL,masc,II,partial
MALE,masc,II,partial
BUZZARD,fem,I,partial
TRASHCANDIM,masc,II,partial
CHAIN,fem,I,partial
WORK,masc,II,partial
BODY,masc,II,partial
BEDAUG,masc,III,partial
GAMEA,masc,II,partial
READER,masc,III,partial
COMBAT,masc,II,partial
DOG,masc,III,partial
FINGERDIM,masc,II,partial
ABACUS,masc,III,partial
RUNUP,fem,I,partial
SPORTSMATCH,fem,I,partial
NUMBER,masc,II,full
MOMENTA,masc,II,partial
BUS,masc,VI,partial
CUCKOO,masc,VI,partial
THRONE,masc,II,partial
COUGH,fem,III,partial
BOAT,fem,I,partial
FIN,fem,I,full
SEA,masc,III,partial
ROPE,fem,I,partial
PADRON,both,III / I,partial
LIGHT,fem,III,full
POLE,masc,II,partial
HANDLEBAR,masc,II,partial
YOUNGSHEPHERD,both,I / II,partial
NURSERYRHYME,fem,I,partial
WIND,masc,II,partial
CHERRY,fem,I,partial
HORN,ambi,V,full
STORK,fem,I,full
PAGE,fem,I,partial
BISCUIT,masc,II,full
TVA,fem,VI,partial
BITE,masc,II,partial
BISCUITDIM,masc,II,partial
SHEETB,masc,II / V,partial
BASKET,masc,II,partial
CHAIR,fem,I,partial
BASKETBALLPLAYER,masc,IV,partial
CHAMPION,masc,III,partial
CASSETTE,fem,I,partial
RAINDIM,fem,I,partial
SOCKDIMB,masc,II,full
BATTLE,fem,I,partial
PUNCH,masc,II,partial
DRUMA,masc,III,partial
SLIPPERBDIM,fem,I,partial
RUN,fem,I,full
SOJOURN,masc,II,partial
CORRIDOR,masc,II,partial
SPINNINGTOP,fem,I,partial
HANDDIM,fem,I,full
DUMMY,masc,II,partial
SUCKDIM,fem,I,partial
TRUMPET,fem,I,full
GHOST,masc,IV,partial
GHOSTDIM,masc,II,partial
RUNDIM,fem,I,partial
BICYCLE,fem,I,partial
MOTORCYCLE,fem,I,partial
FLAMINGO,masc,II,partial
KANGAROO,masc,II,full
STAG,masc,II,full
TIGER,fem,III,full
SLIPPERADIM,fem,I,partial
SKATING,masc,II,partial
BASKETBALL,fem,VI,partial
TENNIS,masc,VI,partial
SLIPPERA,fem,I,partial
CULTURE,fem,I,partial
SPIDER,masc,II,partial
HOUSE,fem,I,partial
JUMP,masc,II,partial
RADIATOR,masc,III,partial
HEATING,masc,II,partial
FEAST,fem,I,partial
PHASE,fem,III,partial
SOUP,fem,I,partial
SOFACOVER,masc,II,partial
TRAINDIM,masc,II,partial
GOLDFINCH,masc,II,partial
SHIRTB,fem,I,partial
VOICE,fem,III,partial
TILLDIM,fem,I,partial
MUSHROOM,masc,II,partial
LIZARD,fem,I,partial
TRACTOR,masc,III,partial
DARKNESS,masc,II,partial
SNAILB,fem,I,partial
SEED,masc,III,partial
STREAM,masc,II,partial
HICCUP,masc,II,partial
SHIT,fem,I,partial
BUCKET,masc,II,partial
CENTDIM,masc,II,full
WRIST,masc,II,partial
SHEEPDIM,fem,I,partial
SCISSOR,fem,III,full
CROCODILE,masc,II,partial
PLANTDIM,fem,I,partial
PROBLEM,masc,IV,partial
CAMEL,masc,II,full
HUMP,fem,I,full
PUBLICITY,fem,VI,partial
WOLF,masc,II,full
PIGLETDIM,masc,II,full
BOTTOM,masc,II,partial
HANDLEA,fem,I,partial
SCREW,fem,III,partial
FISHINGLINE,fem,I,partial
RACKET,fem,I,full
ENCLOSURE,masc,II,partial
FELTTIPPEN,masc,II,full
LIFESAVER,masc,III,partial
POLICE,fem,I,partial
PYJAMASDIM,masc,II,partial
TROUSERS,masc,i.pl.tant,partial
PYJAMAS,masc,IV,partial
BLITZ,masc,VI,partial
NAME,masc,III,full
GARAGE,masc,VI,partial
AFTERNOON,masc,II,partial
SNOW,fem,III,partial
STORM,fem,I,partial
WEEK,fem,I,partial
HANDBAGDIM,fem,I,partial
TONGUE,fem,I,partial
CAPBDIM,masc,II,partial
KEYA,fem,III,partial
LIGHTHOUSE,masc,II,partial
WHEELA,masc,III,partial
HORSEY,masc,II,partial
NAILDIM,masc,II,partial
BRUSH,masc,II,partial
FORCE,fem,I,partial
WHISTLE,masc,II,partial
KAZOO,masc,VI,partial
CONTOUR,masc,II,full
CHEEK,fem,I,full
MALEDIM,masc,II,partial
STAINDIM,fem,I,partial
NETTINGDIM,fem,I,partial
TVB,fem,VI,partial
REMOTECONTROL,masc,II,partial
VIDEOCAMERA,fem,I,partial
RASPBERRYA,masc,III,full
SPRING,fem,I,partial
BAND,fem,I,partial
DRUMB,masc,II,partial
SIGNOR,both,III / I,partial
TURN,masc,II,partial
TURTLEDIM,fem,I,partial
REINDEER,fem,I,partial
SHOVEL,fem,I,partial
RULER,masc,II,partial
PASTEBOARD,masc,II,partial
TRIAL,fem,I,partial
LENS,fem,III,partial
PROFILE,masc,II,partial
ROSE,fem,I,partial
NOSEAUG,masc,III,partial
SHEETA,masc,II,partial
JAR,masc,II,partial
MATDIM,masc,II,partial
STREET,fem,I,partial
FATHER,masc,II,partial
BULLDOG,masc,VI,partial
SPIN,fem,I,partial
CANDLEDIM,fem,I,full
REPLY,fem,I,partial
CAPB,masc,II,partial
MARKETDIM,masc,II,partial
BANANA,fem,I,full
GIRAFFE,fem,I,full
BABYBOTTLE,masc,VI,partial
SIREN,fem,I,partial
METER,masc,II,partial
BEARD,fem,I,partial
RIBBON,masc,II,full
LITTLEFINGER,masc,II,partial
KNOTDIM,masc,II,partial
DRAWER,masc,II,partial
BREATHLESSNESS,masc,III,partial
DRAWERS,fem,I,partial
STICK,masc,III,partial
TOY,masc,II,partial
COMB,masc,III,partial
SAW,fem,I,partial
SOLDIER,masc,II,partial
GUN,masc,III,partial
MEDICINE,fem,I,partial
CRUMBDIM,fem,I,partial
ARMS,ambi,V,partial
TRAIL,fem,I,partial
PISTOL,fem,I,full
BASIN,fem,I,partial
GALLEON,masc,III,partial
SAIL,fem,I,partial
SKULL,masc,II,partial
MONTH,masc,III,partial
SUBWAY,masc,II,full
WEDDING,masc,II,partial
HANDLEB,fem,I,partial
DIZZINESS,masc,II,partial
PENCILSHARPENER,masc,III,partial
DRAWERDIM,masc,II,partial
TRIGGER,masc,II,partial
TEASPOON,masc,II,partial
SHOVELDIM,fem,I,full
ICECREAMPARLOR,fem,I,partial
PIANOFORTE,masc,III,partial
SACKDIM,masc,II,partial
DAYA,fem,I,partial
MASK,fem,I,partial
CITY,fem,VI,partial
TICKET,masc,II,partial
BATH,masc,II,partial
GOSLINGDIM,fem,I,partial
FISHY,masc,II,partial
LEVERET,masc,II,partial
TIDE,fem,I,partial
SPRINGMECHANISM,fem,I,partial
MORNINGA,fem,I,partial
GLOVE,masc,II,partial
COPYBOOK,masc,II,full
DRUMS,fem,I,partial
SEQUENCE,fem,I,partial
KNEE,masc,II,partial
FRISBY,masc,VI,partial
SUNSET,masc,II,partial
HAIRDRYER,masc,VI,partial
BEDDIM,masc,II,partial
DIVE,masc,II,partial
SINGLET,fem,I,partial
GUITAR,fem,I,partial
FLUTE,masc,II,partial
PIPE,masc,II,partial
SHELL,fem,I,partial
TUBE,masc,II,full
WHIM,masc,II,partial
CONFETTI,masc,II,partial
PHOTO,fem,VI,full
STICKDIM,masc,II,full
TRUTH,fem,VI,partial
SUGGESTION,masc,II,partial
VEHICLENOSE,masc,II,partial
TILL,fem,I,partial
WAND,fem,I,partial
SHIP,fem,III,partial
DOLPHIN,masc,II,full
WIFE,fem,III,partial
PIECEDIMDIM,masc,II,partial
END,fem,III,partial
BANQUET,masc,II,partial
MEAT,fem,III,partial
SATURDAY,masc,II,partial
BRAND,fem,I,partial
PEEL,fem,I,partial
PHOTOGRAPH,fem,I,partial
PEASHOOTER,fem,I,partial
POSITION,fem,III,partial
JIGSAW,masc,VI,full
BLU,masc,II,full
MUSICDIM,fem,I,partial
FESTOON,masc,III,partial
SWEET,masc,III,partial
SWEETDIM,masc,II,partial
WINDOW,fem,I,partial
TOAD,masc,II,partial
NECK,masc,II,partial
MOLE,fem,I,partial
MOLEDIM,fem,I,partial
BLANKET,fem,I,full
TUNNEL,fem,I,full
PARROTDIM,masc,II,partial
SWALLOW,fem,III,partial
SNAILADIM,fem,I,partial
DINNER,fem,I,partial
PICTUREDIM,masc,II,partial
BILL,fem,I,partial
TRICYCLE,masc,II,partial
COMMONCOLD,masc,III,partial
NOSEDIMA,masc,II,partial
HANDKERCHIEFDIM,masc,II,partial
RAKE,masc,II,partial
BUNCHB,masc,II,partial
FRUITSALAD,fem,I,partial
CORN,masc,II,full
KICKB,fem,I,partial
TAPEHOLDER,masc,VI,partial
CASE,fem,I,partial
TEA,masc,VI,partial
LIONDIM,masc,II,partial
NOSEDIMB,masc,II,partial
SAND,fem,I,partial
BODYHAIR,masc,II,partial
COLLAR,masc,III,partial
PUP,masc,II,full
LEASH,masc,II,partial
LIFE,fem,I,partial
FUR,fem,I,partial
HAMPER,fem,I,partial
MESSAGE,masc,II,partial
FARM,fem,I,partial
SERGEANT,masc,III,partial
SKIN,fem,III,partial
BROTHERDIM,masc,II,partial
LAMP,fem,I,partial
LIGHTBULB,fem,I,partial
PETROL,fem,I,partial
PUMPDIM,fem,I,partial
ROGUE,masc,III,partial
BOOKAUG,masc,III,partial
RIVER,masc,III,partial
FLOATING,masc,III,partial
GUIDE,fem,I,partial
MOWER,fem,III,partial
DOORMAN,masc,III,partial
KEEPER,masc,III,partial
CARETAKER,masc,II,partial
PANDA,masc,VI,full
BARROW,fem,I,partial
BEAVERDIM,masc,II,partial
LESSON,fem,III,partial
TEACHER,masc,II,partial
HUMPBACK,masc,II,partial
ACCORDION,fem,I,partial
HAY,masc,II,partial
SHEAF,masc,III,partial
BUNDLEDIM,masc,II,partial
BROTHERDIMDIM,masc,II,partial
WEIGHT,masc,II,partial
SWEAT,masc,III,partial
MORNINGB,masc,III,partial
HUT,fem,I,partial
STONEA,fem,I,partial
BEAST,fem,I,partial
SOLDIERDIM,masc,II,partial
FIREEATER,masc,II,partial
PUPPET,fem,I,full
CENT,masc,II,partial
TRIPB,masc,II,partial
SUITCASE,fem,I,partial
LIONESS,fem,I,partial
AEROSOL,fem,I,partial
SWING,masc,II,partial
CANE,fem,I,partial
COMPETITION,fem,I,full
NINEPIN,masc,II,partial
BREAD,masc,III,partial
PITCHFORK,fem,I,partial
CABBAGEDIM,masc,II,partial
MACHINEDIM,fem,I,partial
MUSICBOX,masc,VI,partial
GARDEN,masc,II,partial
HOLE,fem,II,partial
CHANGINGTABLE,masc,II,partial
CALENDAR,masc,II,partial
PUMP,fem,I,partial
FAIR,fem,I,partial
WARDEN,masc,III,partial
NEWSPAPER,masc,III,full
CLUB,fem,I,partial
WOODS,masc,II,partial
TRAP,fem,I,partial
CHILDDIM,fem,I,partial
VEHICLEWINDOW,masc,II,partial
SEAL,fem,I,partial
DINOSAUR,masc,II,partial
DISK,masc,II,partial
GYM,fem,I,partial
GIFT,masc,II,partial
QUESTION,fem,I,partial
LINEBDIM,fem,I,partial
BAKER,masc,II,partial
LITTLEONEDIM,masc,II,partial
DROMEDARY,masc,II,partial
FLASH,masc,VI,partial
STORE,masc,II,full
MARKET,masc,II,partial
CURIOSITY,fem,VI,partial
PHARMACY,fem,I,partial
WILDBOAR,masc,III,partial
LINEB,fem,I,partial
BARRACKS,masc,II,partial
JUNGLE,fem,I,partial
PANTHER,fem,I,partial
VILLAGEA,masc,II,partial
FOOTAUGB,masc,II,partial
PATIENCE,fem,I,partial
BANK,fem,I,partial
RASPBERRYB,fem,I,partial
CROWNDIM,fem,I,partial
TAILDIM,fem,I,partial
FEMALEAUG,fem,I,partial
BRAIN,masc,II,partial
STEPMOTHER,fem,I,partial
DANCER,masc,II,partial
NEPHEWDIM,fem,I,partial
BELL,fem,I,partial
WALTZ,masc,VI,partial
TYPE,masc,II,partial
GRANDPARENTDIM,fem,I,partial
HUNTER,masc,III,partial
BIRTHDAY,masc,II,partial
COLLECTION,fem,III,partial
DRAGONDIM,masc,II,partial
GLOVEAUG,masc,III,partial
OFFSPRINGDIM,masc,II,partial
VERSE,masc,II,partial
RHINOCEROS,masc,III,partial
CAGE,fem,I,partial
BASE,fem,III,partial
DOCUMENT,masc,II,partial
MAIZE,masc,VI,partial
ICECREAM,masc,II,partial
FLAVOR,masc,II,partial
BLUEBERRY,masc,II,full
PUFF,masc,III,partial
COCONUT,masc,II,partial
