diacritic,pronunciation,label,values,triggers,weight
FOOT_1,FOOT,FOOT,set(),set(),11.3
FOOT_2,FOOT,FOOT,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",12.700000000000001
SLEEPYTIME_1,SLEEPYTIME,SLEEPYTIME,set(),set(),13.200000000000005
SLEEPYTIME_2,SLEEPYTIME,SLEEPYTIME,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",18.5
BABYFOOD_1,BABYFOOD,BABYFOOD,set(),set(),10.200000000000001
BABYFOOD_2,BABYFOOD,BABYFOOD,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.5
null_17,null,atomic,{'+atomic'},set(),50.79999999999974
null_18,null,nominalizer,{'o_1'},"{('null', frozenset({'+atomic'}))}",10.20000000000001
PAPA_1,PAPA,PAPA,set(),set(),10.20000000000001
PAPA_2,PAPA,PAPA,set(),"{('null', frozenset()), ('null', frozenset({'+atomic'}))}",42.5
JUICE_1,JUICE,JUICE,set(),set(),10.4
JUICE_2,JUICE,JUICE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
PASTATYPE_1,PASTATYPE,PASTATYPE,set(),set(),10.4
PASTATYPE_2,PASTATYPE,PASTATYPE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
FRUIT_1,FRUIT,FRUIT,set(),set(),9.9
FRUIT_2,FRUIT,FRUIT,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
TOMATO_1,TOMATO,TOMATO,set(),set(),10.100000000000001
TOMATO_2,TOMATO,TOMATO,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.0
POTATO_1,POTATO,POTATO,set(),set(),10.3
POTATO_2,POTATO,POTATO,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.9
FISH_1,FISH,FISH,set(),set(),10.3
FISH_2,FISH,FISH,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",11.4
HAM_1,HAM,HAM,set(),set(),9.9
HAM_2,HAM,HAM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.0
THREAD_1,THREAD,THREAD,set(),set(),10.0
THREAD_2,THREAD,THREAD,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.0
GYMNASTICS_1,GYMNASTICS,GYMNASTICS,set(),set(),9.700000000000001
GYMNASTICS_2,GYMNASTICS,GYMNASTICS,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
null_19,null,nominalizer,"{'a_2', 'e_2'}",set(),37.400000000000006
null_20,null,nominalizer,"{'a_2', 'e_2'}","{('i', frozenset({'-atomic'}))}",13.499999999999998
HAND_3,HAND,HAND,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",11.600000000000001
HAND_4,HAND,HAND,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",15.9
LEG_1,LEG,LEG,set(),set(),10.0
LEG_2,LEG,LEG,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.4
NOSE_1,NOSE,NOSE,set(),set(),11.300000000000002
NOSE_2,NOSE,NOSE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",16.0
MOUTH_1,MOUTH,MOUTH,set(),set(),10.4
MOUTH_2,MOUTH,MOUTH,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",13.0
CATDIM_1,CATDIM,CATDIM,set(),set(),10.4
CATDIM_2,CATDIM,CATDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.0
null_21,null,nominalizer,"{'i_1', 'o_1'}","{('i', frozenset({'-atomic'}))}",16.999999999999996
CATDIM_3,CATDIM,CATDIM,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.200000000000001
CATDIM_4,CATDIM,CATDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",11.5
LION_1,LION,LION,set(),set(),10.0
LION_2,LION,LION,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.9
LION_3,LION,LION,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",9.800000000000002
LION_4,LION,LION,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.8
COUSIN_1,COUSIN,COUSIN,set(),set(),9.9
COUSIN_2,COUSIN,COUSIN,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.0
null_22,null,nominalizer,"{'a_2', 'i_1'}",set(),15.300000000000006
null_23,null,nominalizer,"{'a_2', 'i_1'}","{('i', frozenset({'-atomic'}))}",11.800000000000002
GRANDPARENT_3,GRANDPARENT,GRANDPARENT,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.400000000000002
GRANDPARENT_4,GRANDPARENT,GRANDPARENT,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",11.200000000000001
HOLEDIM_1,HOLEDIM,HOLEDIM,set(),set(),9.9
HOLEDIM_2,HOLEDIM,HOLEDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.5
LITTLEBIT_1,LITTLEBIT,LITTLEBIT,set(),set(),12.400000000000002
LITTLEBIT_2,LITTLEBIT,LITTLEBIT,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.5
TROLLEY_1,TROLLEY,TROLLEY,set(),set(),9.600000000000001
TROLLEY_2,TROLLEY,TROLLEY,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
PIECE_1,PIECE,PIECE,set(),set(),11.200000000000001
PIECE_2,PIECE,PIECE,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",13.000000000000002
null_24,null,nominalizer,"{'i_1', 'o_1'}","{('e', frozenset({'+atomic'}))}",8.000000000000007
