diacritic,pronunciation,label,values,triggers,weight
BOOKDIM_4,BOOKDIM,BOOKDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",16.0
PENGUIN_1,PENGUIN,PENGUIN,set(),set(),9.8
PENGUIN_2,PENGUIN,PENGUIN,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
GOATDIM_1,GOATDIM,GOATDIM,set(),set(),10.8
GOATDIM_2,GOATDIM,GOATDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.000000000000002
LITTLEONE_1,LITTLEONE,LITTLEONE,set(),set(),9.700000000000001
LITTLEONE_2,LITTLEONE,LITTLEONE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.3
KISSDIM_1,KISSDIM,KISSDIM,set(),set(),9.700000000000001
KISSDIM_2,KISSDIM,KISSDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.8
BALLOONDIM_1,BALLOONDIM,BALLOONDIM,set(),set(),10.400000000000002
BALLOONDIM_2,BALLOONDIM,BALLOONDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.100000000000001
null_38,null,nominalizer,{'o_1'},"{('a', frozenset({'+atomic'}))}",8.000000000000009
PLANET_1,PLANET,PLANET,set(),set(),10.0
PLANET_2,PLANET,PLANET,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
SUN_1,SUN,SUN,set(),set(),10.3
SUN_2,SUN,SUN,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.0
CRICKET_1,CRICKET,CRICKET,set(),set(),11.3
CRICKET_2,CRICKET,CRICKET,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
OWLB_1,OWLB,OWLB,set(),set(),9.600000000000001
OWLB_2,OWLB,OWLB,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.5
OWLA_1,OWLA,OWLA,set(),set(),10.0
OWLA_2,OWLA,OWLA,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
HAT_1,HAT,HAT,set(),set(),9.700000000000001
HAT_2,HAT,HAT,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.5
JACKET_1,JACKET,JACKET,set(),set(),9.8
JACKET_2,JACKET,JACKET,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.0
CHILD_1,CHILD,CHILD,set(),set(),9.8
CHILD_2,CHILD,CHILD,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",9.9
TURTLE_1,TURTLE,TURTLE,set(),set(),10.200000000000003
TURTLE_2,TURTLE,TURTLE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",14.5
TRUNK_1,TRUNK,TRUNK,set(),set(),10.0
TRUNK_2,TRUNK,TRUNK,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.0
DRAWING_1,DRAWING,DRAWING,set(),set(),10.9
DRAWING_2,DRAWING,DRAWING,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.5
LADENTABLE_1,LADENTABLE,LADENTABLE,set(),set(),9.9
LADENTABLE_2,LADENTABLE,LADENTABLE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
STOMACH_1,STOMACH,STOMACH,set(),set(),11.200000000000003
STOMACH_2,STOMACH,STOMACH,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",14.5
BELLY_3,BELLY,BELLY,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.5
COACH_1,COACH,COACH,set(),set(),10.5
COACH_2,COACH,COACH,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
CARDIM_1,CARDIM,CARDIM,set(),set(),10.200000000000001
CARDIM_2,CARDIM,CARDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.5
TOKEN_1,TOKEN,TOKEN,set(),set(),10.8
TOKEN_2,TOKEN,TOKEN,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",11.0
HORNDIM_1,HORNDIM,HORNDIM,set(),set(),9.9
HORNDIM_2,HORNDIM,HORNDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",12.0
PACKAGEDIM_1,PACKAGEDIM,PACKAGEDIM,set(),set(),9.8
PACKAGEDIM_2,PACKAGEDIM,PACKAGEDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
PRINCE_1,PRINCE,PRINCE,set(),set(),10.8
PRINCE_2,PRINCE,PRINCE,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",12.5
PRINCESS_1,PRINCESS,PRINCESS,set(),set(),10.4
PRINCESS_2,PRINCESS,PRINCESS,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",13.0
PACKAGEDIMDIM_1,PACKAGEDIMDIM,PACKAGEDIMDIM,set(),set(),10.0
PACKAGEDIMDIM_2,PACKAGEDIMDIM,PACKAGEDIMDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.0
SHOWER_1,SHOWER,SHOWER,set(),set(),9.9
SHOWER_2,SHOWER,SHOWER,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
CLOWN_1,CLOWN,CLOWN,set(),set(),10.200000000000003
CLOWN_2,CLOWN,CLOWN,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",17.5
DWARF_1,DWARF,DWARF,set(),set(),9.9
DWARF_2,DWARF,DWARF,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.0
DISGRACE_1,DISGRACE,DISGRACE,set(),set(),9.9
DISGRACE_2,DISGRACE,DISGRACE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.0
TELEPHONE_1,TELEPHONE,TELEPHONE,set(),set(),10.3
TELEPHONE_2,TELEPHONE,TELEPHONE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.0
SOMERSAULT_1,SOMERSAULT,SOMERSAULT,set(),set(),10.4
SOMERSAULT_2,SOMERSAULT,SOMERSAULT,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.5
GATE_1,GATE,GATE,set(),set(),11.000000000000002
GATE_2,GATE,GATE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",14.5
COMBINATION_1,COMBINATION,COMBINATION,set(),set(),10.5
COMBINATION_2,COMBINATION,COMBINATION,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.5
BUTTERFLY_1,BUTTERFLY,BUTTERFLY,set(),set(),10.9
BUTTERFLY_2,BUTTERFLY,BUTTERFLY,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
LADYBIRD_1,LADYBIRD,LADYBIRD,set(),set(),10.0
LADYBIRD_2,LADYBIRD,LADYBIRD,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
PRIZE_1,PRIZE,PRIZE,set(),set(),10.0
PRIZE_2,PRIZE,PRIZE,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.5
FIREPLACE_1,FIREPLACE,FIREPLACE,set(),set(),11.3
FIREPLACE_2,FIREPLACE,FIREPLACE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.5
WORD_1,WORD,WORD,set(),set(),10.4
WORD_2,WORD,WORD,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.5
CROWN_1,CROWN,CROWN,set(),set(),11.000000000000002
CROWN_2,CROWN,CROWN,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",12.0
null_39,null,nominalizer,{'e_2'},"{('i', frozenset({'-atomic'}))}",20.600000000000033
PARROT_1,PARROT,PARROT,set(),set(),10.200000000000001
PARROT_2,PARROT,PARROT,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
SONGDIM_1,SONGDIM,SONGDIM,set(),set(),9.9
SONGDIM_2,SONGDIM,SONGDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
BISON_1,BISON,BISON,set(),set(),10.5
BISON_2,BISON,BISON,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.0
null_40,null,nominalizer,"{'i_1', 'o_1'}","{('a', frozenset({'+atomic'}))}",8.20000000000001
TRAIN_1,TRAIN,TRAIN,set(),set(),10.400000000000002
TRAIN_2,TRAIN,TRAIN,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",17.0
TAIL_1,TAIL,TAIL,set(),set(),10.500000000000002
TAIL_2,TAIL,TAIL,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",12.0
HAIR_1,HAIR,HAIR,set(),set(),10.4
HAIR_2,HAIR,HAIR,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.5
null_41,null,nominalizer,"{'a_2', 'e_2'}","{('e', frozenset({'-atomic'})), ('e', frozenset({'+atomic'}))}",10.600000000000001
null_42,null,nominalizer,"{'a_2', 'e_2'}","{('e', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",9.000000000000005
COLOR_1,COLOR,COLOR,set(),set(),10.3
COLOR_2,COLOR,COLOR,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.0
SWAN_1,SWAN,SWAN,set(),set(),10.100000000000001
SWAN_2,SWAN,SWAN,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.5
SWAN_3,SWAN,SWAN,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.700000000000001
SWAN_4,SWAN,SWAN,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",11.0
FROG_1,FROG,FROG,set(),set(),10.200000000000001
FROG_2,FROG,FROG,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",9.9
null_43,null,nominalizer,"{'a_2', 'e_2'}","{('e', frozenset({'-atomic'})), ('o', frozenset({'+atomic'}))}",10.200000000000005
null_44,null,nominalizer,"{'a_2', 'e_2'}","{('e', frozenset({'-atomic'})), ('null', frozenset({'+atomic'}))}",9.800000000000004
MILKCOW_1,MILKCOW,MILKCOW,set(),set(),10.3
MILKCOW_2,MILKCOW,MILKCOW,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",13.200000000000001
SEEDDIM_1,SEEDDIM,SEEDDIM,set(),set(),10.5
SEEDDIM_2,SEEDDIM,SEEDDIM,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.5
BABY_4,BABY,BABY,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.0
BABY_5,BABY,BABY,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",10.5
BABY_6,BABY,BABY,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",9.9
CAR_3,CAR,CAR,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",12.400000000000002
CAR_4,CAR,CAR,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",13.9
null_45,null,atomic,{'-atomic'},set(),9.100000000000021
null_46,null,nominalizer,{'i_1'},"{('null', frozenset({'-atomic'}))}",25.500000000000085
TRUCK_1,TRUCK,TRUCK,set(),set(),9.8
TRUCK_2,TRUCK,TRUCK,set(),"{('null', frozenset()), ('null', frozenset({'-atomic'}))}",10.5
BLOW_1,BLOW,BLOW,set(),set(),10.4
BLOW_2,BLOW,BLOW,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.5
NAPPY_1,NAPPY,NAPPY,set(),set(),9.9
NAPPY_2,NAPPY,NAPPY,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.9
null_47,null,nominalizer,"{'i_1', 'o_1'}","{('o', frozenset({'+atomic'})), ('null', frozenset({'-atomic'}))}",20.699999999999996
CYLINDER_1,CYLINDER,CYLINDER,set(),set(),9.9
CYLINDER_2,CYLINDER,CYLINDER,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.0
null_48,null,nominalizer,"{'i_1', 'o_1'}","{('null', frozenset({'-atomic'}))}",17.4
LEGDIM_1,LEGDIM,LEGDIM,set(),set(),9.9
LEGDIM_2,LEGDIM,LEGDIM,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.0
FOOTDIM_1,FOOTDIM,FOOTDIM,set(),set(),9.9
FOOTDIM_2,FOOTDIM,FOOTDIM,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",11.0
LEGDIM_3,LEGDIM,LEGDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
LEGDIM_4,LEGDIM,LEGDIM,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.0
TINDIM_1,TINDIM,TINDIM,set(),set(),10.0
TINDIM_2,TINDIM,TINDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
STRAWBERRY_1,STRAWBERRY,STRAWBERRY,set(),set(),10.200000000000001
STRAWBERRY_2,STRAWBERRY,STRAWBERRY,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",11.9
STRAWBERRYDIM_1,STRAWBERRYDIM,STRAWBERRYDIM,set(),set(),11.4
STRAWBERRYDIM_2,STRAWBERRYDIM,STRAWBERRYDIM,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.0
FIGHT_1,FIGHT,FIGHT,set(),set(),10.0
FIGHT_2,FIGHT,FIGHT,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",14.0
null_49,null,nominalizer,"{'a_3', 'e_2'}",set(),21.800000000000043
null_50,null,nominalizer,"{'a_3', 'e_2'}","{('e', frozenset({'-atomic'}))}",18.800000000000015
THING_3,THING,THING,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",9.600000000000001
THING_4,THING,THING,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.700000000000001
FOLD_1,FOLD,FOLD,set(),set(),10.0
FOLD_2,FOLD,FOLD,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
FOLD_3,FOLD,FOLD,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.0
FOLD_4,FOLD,FOLD,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.0
PIECEDIM_3,PIECEDIM,PIECEDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",9.9
PIECEDIM_4,PIECEDIM,PIECEDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",11.9
PINCH_1,PINCH,PINCH,set(),set(),10.0
PINCH_2,PINCH,PINCH,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
PAPER_3,PAPER,PAPER,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.0
PAPER_4,PAPER,PAPER,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",12.0
SHIRTADIM_1,SHIRTADIM,SHIRTADIM,set(),set(),9.8
SHIRTADIM_2,SHIRTADIM,SHIRTADIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
JACK_1,JACK,JACK,set(),set(),10.0
JACK_2,JACK,JACK,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.5
PIANO_1,PIANO,PIANO,set(),set(),9.8
PIANO_2,PIANO,PIANO,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.5
RASCAL_1,RASCAL,RASCAL,set(),set(),11.0
RASCAL_2,RASCAL,RASCAL,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.0
null_51,null,nominalizer,"{'a_2', 'e_2'}","{('a', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",17.600000000000005
BED_1,BED,BED,set(),set(),10.9
BED_2,BED,BED,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
INSTANCE_1,INSTANCE,INSTANCE,set(),set(),10.000000000000004
INSTANCE_2,INSTANCE,INSTANCE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",15.0
KICKA_1,KICKA,KICKA,set(),set(),9.600000000000001
KICKA_2,KICKA,KICKA,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.200000000000001
KICKA_3,KICKA,KICKA,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
KICKA_4,KICKA,KICKA,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",10.9
HORSEDIM_3,HORSEDIM,HORSEDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.0
HORSEDIM_4,HORSEDIM,HORSEDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",10.4
FLAG_1,FLAG,FLAG,set(),set(),9.8
FLAG_2,FLAG,FLAG,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
FLAGDIM_1,FLAGDIM,FLAGDIM,set(),set(),10.700000000000001
FLAGDIM_2,FLAGDIM,FLAGDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.4
STROLL_1,STROLL,STROLL,set(),set(),10.0
STROLL_2,STROLL,STROLL,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
WALLB_1,WALLB,WALLB,set(),set(),9.9
WALLB_2,WALLB,WALLB,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.0
DISKETTE_1,DISKETTE,DISKETTE,set(),set(),10.0
DISKETTE_2,DISKETTE,DISKETTE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.3
BATTERY_1,BATTERY,BATTERY,set(),set(),9.9
BATTERY_2,BATTERY,BATTERY,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
ROW_1,ROW,ROW,set(),set(),10.4
ROW_2,ROW,ROW,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
SONG_1,SONG,SONG,set(),set(),9.700000000000001
SONG_2,SONG,SONG,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.5
DISKETTE_3,DISKETTE,DISKETTE,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.0
DISKETTE_4,DISKETTE,DISKETTE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",10.0
PIGEON_1,PIGEON,PIGEON,set(),set(),10.5
PIGEON_2,PIGEON,PIGEON,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.0
SPARROWDIM_1,SPARROWDIM,SPARROWDIM,set(),set(),9.9
SPARROWDIM_2,SPARROWDIM,SPARROWDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.0
RABBITDIM_1,RABBITDIM,RABBITDIM,set(),set(),9.9
RABBITDIM_2,RABBITDIM,RABBITDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",15.5
APPLE_1,APPLE,APPLE,set(),set(),9.700000000000001
APPLE_2,APPLE,APPLE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",12.9
PUPDIM_1,PUPDIM,PUPDIM,set(),set(),10.5
PUPDIM_2,PUPDIM,PUPDIM,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.5
PART_1,PART,PART,set(),set(),10.100000000000001
PART_2,PART,PART,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",11.0
HEDGEHOG_3,HEDGEHOG,HEDGEHOG,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.100000000000001
HEDGEHOG_4,HEDGEHOG,HEDGEHOG,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",10.9
EVENING_1,EVENING,EVENING,set(),set(),9.9
EVENING_2,EVENING,EVENING,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
FAMILY_1,FAMILY,FAMILY,set(),set(),10.4
FAMILY_2,FAMILY,FAMILY,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
MAGPIE_1,MAGPIE,MAGPIE,set(),set(),10.5
MAGPIE_2,MAGPIE,MAGPIE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
HARE_1,HARE,HARE,set(),set(),10.3
HARE_2,HARE,HARE,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",11.9
HARE_3,HARE,HARE,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",9.9
HARE_4,HARE,HARE,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.0
DANDELION_1,DANDELION,DANDELION,set(),set(),9.9
DANDELION_2,DANDELION,DANDELION,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",11.0
DANDELION_3,DANDELION,DANDELION,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.0
DANDELION_4,DANDELION,DANDELION,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.0
SNAKE_1,SNAKE,SNAKE,set(),set(),10.0
SNAKE_2,SNAKE,SNAKE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
BAT_1,BAT,BAT,set(),set(),10.5
BAT_2,BAT,BAT,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.0
NIGHT_1,NIGHT,NIGHT,set(),set(),10.5
NIGHT_2,NIGHT,NIGHT,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.5
SHEEP_1,SHEEP,SHEEP,set(),set(),10.0
SHEEP_2,SHEEP,SHEEP,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.5
CHICK_3,CHICK,CHICK,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.4
CHICK_4,CHICK,CHICK,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",10.200000000000001
HEN_3,HEN,HEN,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",11.5
HEN_4,HEN,HEN,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
SNAILA_3,SNAILA,SNAILA,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",9.9
SNAILA_4,SNAILA,SNAILA,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
null_52,null,nominalizer,"{'a_2', 'a_3', 'e_2'}","{('e', frozenset({'-atomic'}))}",11.499999999999996
null_53,null,nominalizer,"{'a_2', 'a_3', 'e_2'}","{('e', frozenset({'-atomic'})), ('a', frozenset({'+atomic'}))}",13.399999999999995
null_54,null,nominalizer,"{'a_2', 'a_3', 'e_2'}","{('e', frozenset({'-atomic'})), ('e', frozenset({'+atomic'}))}",9.8
null_55,null,nominalizer,"{'a_2', 'a_3', 'e_2'}","{('e', frozenset({'-atomic'})), ('o', frozenset({'+atomic'}))}",9.500000000000004
null_56,null,nominalizer,"{'a_2', 'a_3', 'e_2'}","{('e', frozenset({'-atomic'})), ('null', frozenset({'+atomic'}))}",9.700000000000003
ANT_1,ANT,ANT,set(),set(),9.8
ANT_2,ANT,ANT,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.4
WASP_1,WASP,WASP,set(),set(),10.600000000000001
WASP_2,WASP,WASP,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.0
PIGDIM_1,PIGDIM,PIGDIM,set(),set(),10.3
PIGDIM_2,PIGDIM,PIGDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.0
TURKEY_1,TURKEY,TURKEY,set(),set(),9.9
TURKEY_2,TURKEY,TURKEY,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
null_57,null,nominalizer,"{'a_2', 'a_3', 'e_2'}",set(),15.099999999999998
CARPETBEATER_1,CARPETBEATER,CARPETBEATER,set(),set(),10.5
CARPETBEATER_2,CARPETBEATER,CARPETBEATER,set(),"{('null', frozenset()), ('null', frozenset({'+atomic'}))}",10.5
KNIFE_1,KNIFE,KNIFE,set(),set(),9.8
KNIFE_2,KNIFE,KNIFE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.0
POORONEDIM_1,POORONEDIM,POORONEDIM,set(),set(),9.9
POORONEDIM_2,POORONEDIM,POORONEDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.0
FISH_3,FISH,FISH,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",11.4
FISH_4,FISH,FISH,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset()), ('i', frozenset({'-atomic'}))}",11.5
CARROT_1,CARROT,CARROT,set(),set(),10.3
CARROT_2,CARROT,CARROT,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",9.9
CARROT_3,CARROT,CARROT,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.700000000000001
CARROT_4,CARROT,CARROT,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.5
CANARY_1,CANARY,CANARY,set(),set(),10.4
CANARY_2,CANARY,CANARY,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.5
BLANKETDIM_1,BLANKETDIM,BLANKETDIM,set(),set(),10.0
BLANKETDIM_2,BLANKETDIM,BLANKETDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
KEYADIM_1,KEYADIM,KEYADIM,set(),set(),9.9
KEYADIM_2,KEYADIM,KEYADIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.0
CURVE_1,CURVE,CURVE,set(),set(),10.5
CURVE_2,CURVE,CURVE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
MOTO_1,MOTO,MOTO,set(),set(),9.8
MOTO_2,MOTO,MOTO,set(),"{('null', frozenset()), ('null', frozenset({'+atomic'}))}",11.5
FEATHER_1,FEATHER,FEATHER,set(),set(),10.0
FEATHER_2,FEATHER,FEATHER,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",11.0
FACE_1,FACE,FACE,set(),set(),10.3
FACE_2,FACE,FACE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",13.0
PUPIL_1,PUPIL,PUPIL,set(),set(),10.0
PUPIL_2,PUPIL,PUPIL,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",11.0
TICKLE_1,TICKLE,TICKLE,set(),set(),10.0
TICKLE_2,TICKLE,TICKLE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
POINT_1,POINT,POINT,set(),set(),11.000000000000002
POINT_2,POINT,POINT,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",13.0
CREAM_1,CREAM,CREAM,set(),set(),10.0
CREAM_2,CREAM,CREAM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
UGGO_1,UGGO,UGGO,set(),set(),10.5
UGGO_2,UGGO,UGGO,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.0
SLIPPERB_1,SLIPPERB,SLIPPERB,set(),set(),10.5
SLIPPERB_2,SLIPPERB,SLIPPERB,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",11.0
