trigger_label,trigger_values,trigger_diacritic,keep_values,weight
definite,"{'+atomic', '+definite'}",a_2,{'+definite'},524.9000000000508
definite,"{'+definite', '-atomic'}",i_1,{'+definite'},315.0000000000031
definite,"{'+atomic', '+definite'}",o_1,{'+definite'},517.9000000000492
definite,"{'+atomic', '-definite'}",a_2,{'-definite'},203.49999999999272
definite,"{'+atomic', '-definite'}",o_1,{'-definite'},194.09999999999326
definite,"{'+definite', '-atomic'}",e_2,{'+definite'},291.69999999999783
definite,"{'+atomic', '-definite'}",a_3,{'+atomic'},110.499999999998
definite,"{'+atomic', '+definite'}",o_3,{'+atomic'},219.09999999999184
definite,{'+atomic'},a_2,set(),32.40000000000019
