Line,"{'+atomic', '+definite'} - definite - a_2","{'+definite', '-atomic'} - definite - i_1","{'+atomic', '+definite'} - definite - o_1","{'+atomic', '-definite'} - definite - a_2","{'+atomic', '-definite'} - definite - o_1","{'+definite', '-atomic'} - definite - e_2","{'+atomic', '-definite'} - definite - a_3","{'+atomic', '+definite'} - definite - o_3",{'+atomic'} - definite - a_2
0,,,,,,,,,
1,1,1.1,,,,,,,
2,1.2000000000000002,1.2000000000000002,,,,,,,
3,1.4000000000000004,1.3000000000000003,,,,,,,
4,1.6000000000000005,1.4000000000000004,,,,,,,
5,1.6000000000000005,1.5000000000000004,1.1,,,,,,
6,1.8000000000000007,1.6000000000000005,1.1,,,,,,
7,1.8000000000000007,1.7000000000000006,1.3000000000000003,,,,,,
8,1.8000000000000007,1.8000000000000007,1.5000000000000004,,,,,,
9,1.8000000000000007,1.9000000000000008,1.7000000000000006,,,,,,
10,1.9000000000000008,1.9000000000000008,1.7000000000000006,1.1,,,,,
11,2.200000000000001,2.000000000000001,1.7000000000000006,1.2000000000000002,,,,,
12,2.200000000000001,2.100000000000001,1.9000000000000008,1.2000000000000002,,,,,
13,2.4000000000000012,2.200000000000001,1.9000000000000008,1.3000000000000003,,,,,
14,2.4000000000000012,2.300000000000001,2.100000000000001,1.3000000000000003,,,,,
15,2.7000000000000015,2.4000000000000012,2.100000000000001,1.4000000000000004,,,,,
16,3.0000000000000018,2.5000000000000013,2.100000000000001,1.5000000000000004,,,,,
17,3.0000000000000018,2.6000000000000014,2.300000000000001,1.5000000000000004,,,,,
18,3.300000000000002,2.7000000000000015,2.300000000000001,1.6000000000000005,,,,,
19,3.400000000000002,2.7000000000000015,2.300000000000001,1.8000000000000007,,,,,
20,3.500000000000002,2.7000000000000015,2.300000000000001,2.000000000000001,,,,,
21,3.8000000000000025,2.8000000000000016,2.300000000000001,2.100000000000001,,,,,
22,3.9000000000000026,3.100000000000002,2.4000000000000012,2.100000000000001,,,,,
23,4.200000000000002,3.200000000000002,2.4000000000000012,2.200000000000001,,,,,
24,4.200000000000002,3.200000000000002,2.5000000000000013,2.200000000000001,1,,,,
25,4.500000000000001,3.300000000000002,2.5000000000000013,2.300000000000001,1,,,,
26,4.8,3.400000000000002,2.5000000000000013,2.4000000000000012,1,,,,
27,4.999999999999999,3.500000000000002,2.5000000000000013,2.5000000000000013,1,,,,
28,5.199999999999998,3.6000000000000023,2.5000000000000013,2.6000000000000014,1,,,,
29,5.499999999999997,3.7000000000000024,2.5000000000000013,2.7000000000000015,1,,,,
30,5.799999999999996,3.8000000000000025,2.5000000000000013,2.8000000000000016,1,,,,
31,5.799999999999996,3.8000000000000025,2.6000000000000014,2.8000000000000016,1.1,,,,
32,6.099999999999995,3.9000000000000026,2.6000000000000014,2.9000000000000017,1.1,,,,
33,6.099999999999995,3.9000000000000026,2.7000000000000015,2.9000000000000017,1.3000000000000003,,,,
34,6.399999999999994,4.000000000000003,2.7000000000000015,3.0000000000000018,1.3000000000000003,,,,
35,6.499999999999994,4.000000000000003,2.7000000000000015,3.100000000000002,1.3000000000000003,,,,
36,6.599999999999993,4.000000000000003,2.7000000000000015,3.300000000000002,1.3000000000000003,,,,
37,6.599999999999993,4.100000000000002,3.0000000000000018,3.300000000000002,1.4000000000000004,,,,
38,6.599999999999993,4.200000000000002,3.300000000000002,3.300000000000002,1.5000000000000004,,,,
39,6.699999999999993,4.200000000000002,3.400000000000002,3.300000000000002,1.5000000000000004,1.1,,,
40,6.999999999999992,4.300000000000002,3.400000000000002,3.400000000000002,1.5000000000000004,1.2000000000000002,,,
41,6.999999999999992,4.400000000000001,3.7000000000000024,3.400000000000002,1.6000000000000005,1.3000000000000003,,,
42,7.099999999999992,4.7,3.8000000000000025,3.400000000000002,1.6000000000000005,1.3000000000000003,,,
43,7.099999999999992,4.8,4.100000000000002,3.400000000000002,1.7000000000000006,1.4000000000000004,,,
44,7.49999999999999,4.8999999999999995,4.100000000000002,3.500000000000002,1.7000000000000006,1.5000000000000004,,,
45,7.59999999999999,5.199999999999998,4.200000000000002,3.500000000000002,1.7000000000000006,1.5000000000000004,,,
46,7.899999999999989,5.299999999999998,4.200000000000002,3.6000000000000023,1.7000000000000006,1.6000000000000005,,,
47,7.9999999999999885,5.599999999999997,4.300000000000002,3.6000000000000023,1.7000000000000006,1.6000000000000005,,,
48,8.099999999999989,5.899999999999996,4.400000000000001,3.6000000000000023,1.7000000000000006,1.6000000000000005,,,
49,8.399999999999988,5.999999999999996,4.400000000000001,3.7000000000000024,1.7000000000000006,1.7000000000000006,,,
50,8.699999999999987,6.099999999999995,4.400000000000001,3.8000000000000025,1.7000000000000006,1.8000000000000007,,,
51,8.999999999999986,6.199999999999995,4.400000000000001,3.9000000000000026,1.7000000000000006,1.9000000000000008,,,
52,8.999999999999986,6.2999999999999945,4.7,3.9000000000000026,1.8000000000000007,2.000000000000001,,,
53,8.999999999999986,6.399999999999994,5.099999999999999,3.9000000000000026,1.9000000000000008,2.100000000000001,,,
54,9.399999999999984,6.499999999999994,5.099999999999999,4.000000000000003,1.9000000000000008,2.200000000000001,,,
55,9.799999999999983,6.599999999999993,5.099999999999999,4.100000000000002,1.9000000000000008,2.300000000000001,,,
