Line,set(),{'la_1'},{'a_2'},{'e_1'},{'i_1'},"{'e_1', 'a_2'}","{'i_1', 'o_1'}",{'o_1'},"{'i_1', 'a_2'}","{'e_1', 'o_1'}"
0,10.1,10.0,,,,,,,,
1,10.2,10.0,,,,,,,,
2,10.299999999999999,0,10.0,10.0,,,,,,
3,10.299999999999999,0,10.1,10.299999999999999,,,,,,
4,10.399999999999999,0,10.2,10.299999999999999,10.0,,,,,
5,10.399999999999999,0,10.499999999999998,10.299999999999999,10.1,,,,,
6,10.399999999999999,0,10.599999999999998,10.299999999999999,10.1,10.2,,,,
7,10.399999999999999,0,10.899999999999997,10.299999999999999,10.1,10.299999999999999,,,,
8,10.499999999999998,0,11.099999999999996,10.299999999999999,10.1,10.299999999999999,,,,
9,10.499999999999998,0,11.399999999999995,10.299999999999999,10.1,10.299999999999999,,,,
10,10.499999999999998,0,11.399999999999995,10.299999999999999,10.1,10.299999999999999,10.2,,,
11,10.499999999999998,0,11.399999999999995,10.299999999999999,10.1,10.299999999999999,10.2,10.0,,
12,10.499999999999998,0,11.399999999999995,10.299999999999999,10.1,10.299999999999999,10.2,10.0,,
13,10.499999999999998,0,11.499999999999995,10.299999999999999,10.1,10.299999999999999,10.2,10.0,,
14,10.499999999999998,0,11.499999999999995,10.299999999999999,10.1,10.299999999999999,10.2,10.0,,
15,10.499999999999998,0,11.499999999999995,10.299999999999999,10.1,10.299999999999999,10.2,10.0,,
16,10.499999999999998,0,11.899999999999993,10.299999999999999,10.1,10.299999999999999,10.2,10.0,,
17,10.499999999999998,0,11.999999999999993,10.299999999999999,10.2,10.299999999999999,10.799999999999999,10.0,,
18,10.499999999999998,0,12.299999999999992,10.399999999999999,10.2,10.299999999999999,10.799999999999999,10.0,,
19,10.499999999999998,0,12.399999999999991,10.399999999999999,10.2,10.299999999999999,10.799999999999999,10.0,,
20,10.499999999999998,0,12.399999999999991,10.399999999999999,10.2,10.299999999999999,10.799999999999999,10.1,,
21,10.499999999999998,0,12.399999999999991,10.399999999999999,10.2,10.299999999999999,10.799999999999999,10.1,,
