trigger_label,trigger_values,trigger_diacritic,keep_values,weight
definite,"{'-atomic', '+definite'}",e_1,{'+definite'},10.59999999999998
definite,"{'+definite', '+atomic'}",o_1,{'+definite'},15.399999999999963
definite,"{'+definite', '+atomic'}",a_2,{'+definite'},15.399999999999963
definite,"{'-definite', '+atomic'}",a_2,{'-definite'},5.799999999999996
definite,"{'-atomic', '+definite'}",i_2,{'+definite'},10.69999999999998
definite,"{'-definite', '+atomic'}",o_1,{'-definite'},5.999999999999996
