Line,set(),{'le_1'},{'e_1'},{'o_1'},{'una_1'},{'a_2'},{'i_2'},"{'a_2', 'e_1'}","{'i_2', 'o_1'}"
0,10.0,10.299999999999999,,,,,,,
1,10.0,0,10.0,10.0,,,,,
2,10.1,0,10.0,10.0,10.0,,,,
3,10.2,0,10.1,10.0,0,10.0,,,
4,10.2,0,10.1,10.0,0,10.0,10.299999999999999,,
5,10.2,0,10.2,10.0,0,10.1,10.299999999999999,,
6,10.2,0,10.299999999999999,10.0,0,10.2,10.299999999999999,,
7,10.2,0,10.399999999999999,10.0,0,10.399999999999999,10.299999999999999,,
8,10.2,0,10.599999999999998,10.0,0,10.399999999999999,10.299999999999999,,
9,10.2,0,10.599999999999998,10.1,0,10.599999999999998,10.299999999999999,,
10,10.2,0,10.599999999999998,10.1,0,10.599999999999998,10.299999999999999,,
11,10.2,0,10.599999999999998,10.2,0,10.599999999999998,10.399999999999999,,
12,10.2,0,10.599999999999998,10.299999999999999,0,10.599999999999998,10.399999999999999,,
13,10.299999999999999,0,10.899999999999997,10.299999999999999,0,10.599999999999998,10.399999999999999,,
14,10.299999999999999,0,10.899999999999997,10.299999999999999,0,10.699999999999998,10.399999999999999,,
15,10.299999999999999,0,10.899999999999997,10.299999999999999,0,10.699999999999998,10.499999999999998,,
16,10.299999999999999,0,10.899999999999997,10.399999999999999,0,10.699999999999998,10.499999999999998,,
17,10.299999999999999,0,10.899999999999997,10.399999999999999,0,10.899999999999997,10.499999999999998,,
18,10.299999999999999,0,10.899999999999997,10.399999999999999,0,10.899999999999997,10.499999999999998,,
19,10.299999999999999,0,10.999999999999996,10.499999999999998,0,10.899999999999997,10.499999999999998,,
20,10.299999999999999,0,10.999999999999996,10.499999999999998,0,11.099999999999996,10.499999999999998,,
21,10.299999999999999,0,10.999999999999996,10.499999999999998,0,11.199999999999996,10.499999999999998,,
22,10.299999999999999,0,11.099999999999996,10.499999999999998,0,11.199999999999996,10.499999999999998,,
23,10.299999999999999,0,11.199999999999996,10.499999999999998,0,11.399999999999995,10.499999999999998,,
24,10.299999999999999,0,11.299999999999995,10.499999999999998,0,11.499999999999995,10.599999999999998,,
25,10.299999999999999,0,11.799999999999994,10.499999999999998,0,11.499999999999995,10.599999999999998,10.0,
26,10.299999999999999,0,11.999999999999993,10.499999999999998,0,11.499999999999995,10.599999999999998,10.0,
27,10.299999999999999,0,12.099999999999993,10.499999999999998,0,11.499999999999995,10.599999999999998,10.0,
28,10.299999999999999,0,12.299999999999992,10.499999999999998,0,11.499999999999995,10.599999999999998,10.0,
29,10.299999999999999,0,12.499999999999991,10.499999999999998,0,11.499999999999995,10.599999999999998,10.0,
30,10.299999999999999,0,12.79999999999999,10.499999999999998,0,11.499999999999995,10.599999999999998,10.0,
31,10.299999999999999,0,12.89999999999999,10.499999999999998,0,11.999999999999993,10.599999999999998,10.1,
32,10.299999999999999,0,12.89999999999999,10.499999999999998,0,11.999999999999993,10.899999999999997,10.1,10.0
33,10.299999999999999,0,12.99999999999999,10.899999999999997,0,11.999999999999993,10.899999999999997,10.1,10.2
34,10.299999999999999,0,12.99999999999999,10.999999999999996,0,11.999999999999993,10.899999999999997,10.1,10.2
35,10.299999999999999,0,13.299999999999988,10.999999999999996,0,11.999999999999993,10.899999999999997,10.1,10.2
36,10.299999999999999,0,13.399999999999988,10.999999999999996,0,11.999999999999993,10.899999999999997,10.1,10.2
37,10.299999999999999,0,13.399999999999988,10.999999999999996,0,11.999999999999993,10.999999999999996,10.1,10.2
38,10.299999999999999,0,13.399999999999988,10.999999999999996,0,11.999999999999993,11.199999999999996,10.1,10.2
39,10.299999999999999,0,13.399999999999988,11.099999999999996,0,11.999999999999993,11.199999999999996,10.1,10.2
