delete?,ROOT,ROOT+DIM,unique,UPPER,Italian lemma,Italian stem form,singular affix,pl affix,class,grammatical gender,animate?,feminine?
,hepatitis,hepatitis,epatitefem,HEPATITIS,epatite,epatite,-ø,,VI,fem,,
,,,erbafem,,erba,erb,a,,I,fem,,
,,,esempiomasc,,esempio,esempi,o,,II,masc,,
,,,esperienzafem,,esperienza,esperienz,a,,I,fem,,
,,,espressionefem,,espressione,espressione,-ø,,VI,fem,,
,,,estatemasc,,estate,estat,e,,III,masc,,
,label,label,etichettafem,LABEL,etichetta,etichett,a,,I,fem,,
,,,facciafem,,faccia,facci,a,,I,fem,,
,bundle,bundle.DIM,fagotto-DIMmasc,BUNDLE.DIM,fagotto-DIM,fagottin,TBD,,,masc,,
,mower,mower,falciatricefem,MOWER,falciatrice,falciatrice,-ø,,VI,fem,,
,family,family,famigliafem,FAMILY,famiglia,famigli,a,,I,fem,,
,ghost,ghost,fantasmamasc,GHOST,fantasma,fantasma,-ø,,VI,masc,ANIM,
,ghost,ghost.DIM,fantasma-DIMmasc,GHOST.DIM,fantasma-DIM,fantasmin,TBD,,,masc,ANIM,
,fanciful,fanciful,,,fantastico,fantastic,,,,,,
,jack,jack,fantemasc,JACK,fante,fant,e,,III,masc,,
,,,farfallafem,,farfalla,farfall,a,,I,fem,,
,pharmacy,pharmacy,farmaciafem,PHARMACY,farmacia,farmaci,a,,I,fem,,
,lighthouse,lighthouse,faromasc,LIGHTHOUSE,faro,far,o,,II,masc,,
,changing_table,changing_table,fasciatoiomasc,CHANGING_TABLE,fasciatoio,fasciatoi,o,,II,masc,,
,phase,phase,fasefem,PHASE,fase,fase,-ø,,VI,fem,,
,fairy,fairy,fatafem,FAIRY,fata,fat,a,,I,fem,ANIM,
,farm,farm,fattoriafem,FARM,fattoria,fattori,a,,I,fem,,
,,,fazzolettomasc,,fazzoletto,fazzolett,o,,II,masc,,
,,.DIM,fazzoletto-DIMmasc,.DIM,fazzoletto-DIM,fazzolettin,TBD,,,masc,,
,female,female,femminafem,FEMALE,femmina,femminucci,a,,I,fem,ANIM,+FEM
,flamingo,flamingo,fenicotteromasc,FLAMINGO,fenicottero,fenicotter,o,,II,masc,ANIM,
,STILL,STILL,,,fermo,ferm,,,,,,
,ferocious,ferocious,,,feroce,feroc,,,,,,
,,,festafem,,festa,fest,a,,I,fem,,
,festoon,festoon,festonemasc,FESTOON,festone,feston,e,,III,masc,,
,breathlessness,breathlessness,fiatonemasc,BREATHLESSNESS,fiatone,fiaton,e,,III,masc,,
,hay,hay,fienomasc,HAY,fieno,fien,o,,II,masc,,
,,,fierafem,,fiera,fier,a,,I,fem,,
,daughter,daughter,figliafem,DAUGHTER,figlia,figli,a,,I,fem,ANIM,+FEM
,son,son,figliomasc,SON,figlio,figli,o,,II,masc,,
,son,son,figliomasc,SON,figlio,figl,o,,II,masc,,
,son,son.DIM,figlio-DIMmasc,SON.DIM,figlio-DIM,figliolett,TBD,,,masc,,
,,,figurafem,,figura,figur,a,,I,fem,,
,row,row,filafem,ROW,fila,fil,a,,I,fem,,
,stringy,stringy,,,filante,filant,,,,,,
,nursery_rhyme,nursery_rhyme,filastroccafem,NURSERY_RHYME,filastrocca,filastrocc,a,,I,fem,,
,,,filomasc,,filo,fil,o,,II,masc,,
,end,end,finefem,END,fine,fine,-ø,,VI,fem,,
,window,window,finestrafem,WINDOW,finestra,finestr,a,,I,fem,,
,window,window,finestrinomasc,WINDOW,finestrino,finestrin,o,,II,masc,,
,FINE,FINE,,,fino,fin,,,,,,
,FAKE,FAKE,,,finto,fint,,,,,,
,RIBBON,RIBBON.DIM,fiocco-DIMmasc,RIBBON.DIM,fiocco-DIM,fiocchett,o,i,II,masc,,
,RIBBON,RIBBON.DIM,fiocco-DIM-DIMmasc,RIBBON.DIM,fiocco-DIM-DIM,fiocchettin,o,i,II,masc,,
,flower,flower,fioremasc,FLOWER,fiore,fior,e,i,III,masc,,
,accordion,accordion,fisarmonicafem,ACCORDION,fisarmonica,fisarmonic,a,,I,fem,,
,whistle,whistle,fischiettomasc,WHISTLE,fischietto,fischiett,o,,II,masc,,
,thick,thick,,,fitto,fitt,,,,,,
,,,fiumemasc,,fiume,fium,e,,III,masc,,
,flash,flash,flashmasc,FLASH,flash,flash,-ø,,VI,masc,,
,flute,flute,flautomasc,FLUTE,flauto,flaut,o,,II,masc,,
,seal,seal,focafem,SEAL,foca,foc,a,,I,fem,?,
,sheet,sheet,fogliomasc,SHEET,foglio,fogli,o,,II,masc,,
,hairdryer,hairdryer,fonmasc,HAIRDRYER,fon,fon,-ø,,VI,masc,,
,fondamental,fondamental,,,fondamentale,fondamental,,,,,,
,bottom,bottom,fondomasc,BOTTOM,fondo,fond,o,,II,masc,,
,,,forbicefem,,forbice,forbice,-ø,,VI,fem,,
,,,forbicefem,,forbice,forbic,e,,III,fem,,
,pitchfork,pitchfork,forcafem,PITCHFORK,forca,forc,a,,I,fem,,
,,.DIM,forma-DIMfem,.DIM,forma-DIM,formin,TBD,,,fem,,
,cheese,cheese,formaggiomasc,CHEESE,formaggio,formaggi,o,,II,masc,,
,ant,ant,formicafem,ANT,formica,formic,a,,I,fem,ANIM,
,,,fornaiomasc,,fornaio,fornai,o,,II,masc,,
,,,forzafem,,forza,forz,a,,I,fem,,
,PHOTO,PHOTO,fotomasc,PHOTO,foto,fot,o,,II,masc,,
,PHOTOGRAPH,PHOTOGRAPH,fotografiafem,PHOTOGRAPH,fotografia,fotografi,a,,I,fem,,
,photographic,photographic,,,fotografico,fotografic,,,,,,
,STRAWBERRY,STRAWBERRY,fragolafem,STRAWBERRY,fragola,fragol,a,,I,fem,,
,STRAWBERRY,STRAWBERRY.DIM,fragola-DIMfem,STRAWBERRY.DIM,fragola-DIM,fragolin,TBD,,,fem,,
,,.DIM,fragola-DIMfem,.DIM,fragola-DIM,<fragoline,TBD,,,fem,,
,,.DIM,frate-DIMmasc,.DIM,frate-DIM,fratell,TBD,,,masc,,
,,.DIM,frate-DIM-DIMmasc,.DIM,frate-DIM-DIM,fratellin,TBD,,,masc,,
,frisby,frisby,frisbymasc,FRISBY,frisby,frisby,-ø,,VI,masc,,
,riding_whip,riding_whip,frustinomasc,RIDING_WHIP,frustino,frustin,o,,II,masc,,
,,,fruttafem,,frutta,frutt,a,,I,fem,,
,gun,gun,fucilemasc,GUN,fucile,fucil,e,,III,masc,,
,,,fumomasc,,fumo,fum,o,,II,masc,,
,mushroom,mushroom,fungomasc,MUSHROOM,fungo,fung,o,,II,masc,,
,mushroom,mushroom,fungomasc,MUSHROOM,fungo,fungh,o,,II,masc,,
,,,fuocomasc,,fuoco,fuoc,o,,II,masc,,
,,,gabbiafem,,gabbia,gabbi,a,,I,fem,,
,galleon,galleon,galeonemasc,GALLEON,galeone,galeon,e,,III,masc,,
,floating,floating,galleggiantemasc,FLOATING,galleggiante,galleggiant,e,,III,masc,,
,tunnel,tunnel,galleriafem,TUNNEL,galleria,galleri,a,,I,fem,,
,,,gallinafem,,gallina,gallin,a,,I,fem,,
,,,gallomasc,,gallo,gall,o,,II,masc,,
,LEG,LEG,gambafem,LEG,gamba,gamb,a,,I,fem,,
,LEG,LEG.DIM,gamba-DIMfem,LEG.DIM,gamba-DIM,gambett,TBD,,,fem,,
,stem,stem,gambomasc,STEM,gambo,gamb,o,,II,masc,,
,,,garafem,,gara,gar,a,,I,fem,,
,CAT,CAT,gattomasc,CAT,gatto,gatt,o,,II,masc,ANIM,
,,,gattomasc,,gatto,gatt(o,o,,II,masc,ANIM,
,CAT,CAT.DIM,gatto-DIMmasc,CAT.DIM,gatto-DIM,gattin,TBD,,,masc,ANIM,
,magpie,magpie,gazzafem,MAGPIE,gazza,gazz,a,,I,fem,ANIM,
,ice_cream_parlor,ice_cream_parlor,gelateriafem,ICE_CREAM_PARLOR,gelateria,gelateri,a,,I,fem,,
,,,gelatomasc,,gelato,gelat,o,,II,masc,,
,token,token,gettonemasc,TOKEN,gettone,getton,e,,III,masc,,
,jacket,jacket,giaccafem,JACKET,giacca,giacc,a,,I,fem,,
,jacket,jacket.DIM,giacca-DIMfem,JACKET.DIM,giacca-DIM,giacchett,TBD,,,fem,,
,YELLOW,YELLOW,,,giallo,giall,,,,,,
,,,giardinomasc,,giardino,giardin,o,,II,masc,,
,gigantic,gigantic,,,gigantesco,gigantesc,,,,,,
,,,ginnasticafem,,ginnastica,ginnastic,a,,I,fem,,
,knee,knee,ginocchiomasc,KNEE,ginocchio,ginocch,o,,II,masc,,
,knee,knee,ginocchiomasc,KNEE,ginocchio,ginocchi,o,,II,masc,,
,,,giocattolomasc,,giocattolo,giocattol,o,,II,masc,,
,,,giocomasc,,gioco,gioc,o,,II,masc,,
,,.DIM,gioco-DIMmasc,.DIM,gioco-DIM,giochin,TBD,,,masc,,
,,,giornalemasc,,giornale,giornal,e,,III,masc,,
,,,giornatafem,,giornata,giornat,a,,I,fem,,
,,,giornomasc,,giorno,giorn,o,,II,masc,,
,,,giostrafem,,giostra,giostr,a,,I,fem,,
,GIRAFFE,GIRAFFE,giraffafem,GIRAFFE,giraffa,giraff,a,,I,fem,ANIM,
,,,giromasc,,giro,gir,o,,II,masc,,
,,.DIM,giro-DIMmasc,.DIM,giro-DIM,girett,TBD,,,masc,,
,game,game,girotondomasc,GAME,girotondo,girotond,o,,II,masc,,
,trip,trip,gitafem,TRIP,gita,git,a,,I,fem,,
,jungle,jungle,giunglafem,JUNGLE,giungla,giungl,a,,I,fem,,
,RIGHT,RIGHT,,,giusto,giust,,,,,,
,hump,hump,gobbafem,HUMP,gobba,gobb,a,,I,fem,,
,humpbacked,humpbacked,gobbomasc,HUMPBACKED,gobbo,gobb,o,,II,masc,,
,elbow,elbow,gomitomasc,ELBOW,gomito,gomit,o,,II,masc,,
,,,gommafem,,gomma,gomm,a,,I,fem,,
,barn,barn,granaiomasc,BARN,granaio,granai,o,,II,masc,,
,big,big,,,grande,grand,,,,,,
,big,big.SUPER,,,grande-SUPER,grandissim,,,,,,
,wheat,wheat,granomasc,WHEAT,grano,gran,o,,II,masc,,
,bunch,bunch,grappolomasc,BUNCH,grappolo,grappol,o,,II,masc,,
,grey,grey,,,grigio,grigi,,,,,,
,grey,grey.DIM,,,grigio-DIM,grigett,,,,,,
,trigger,trigger,grillettomasc,TRIGGER,grilletto,grillett,o,,II,masc,,
,cricket,cricket,grillomasc,CRICKET,grillo,grill,o,,II,masc,ANIM,
,LARGE,LARGE,,,grosso,gross,,,,,,
,cheek,cheek,guanciafem,CHEEK,guancia,guanc,a,,I,fem,,
,cheek,cheek,guanciafem,CHEEK,guancia,guanci,a,,I,fem,,
,,,guantomasc,,guanto,guant,o,,II,masc,,
,,,guantomasc,,guanto,guanton,o,,II,masc,,
,owl,owl,gufomasc,OWL,gufo,guf,o,,II,masc,ANIM,
,,,guidafem,,guida,guid,a,,I,fem,,
,leash,leash,guinzagliomasc,LEASH,guinzaglio,guinzagli,o,,II,masc,,
,,,gustomasc,,gusto,gust,o,,II,masc,,
,,,ideafem,,idea,ide,a,,I,fem,,
,,,immaginefem,,immagine,immagin,e,,III,fem,,
,accident,accident,incidentemasc,ACCIDENT,incidente,incident,e,,III,masc,,
,,,indianomasc,,indiano,indian,o,,II,masc,,
,infernal,infernal,,,infernale,infernal,,,,,,
,salad,salad,insalatafem,SALAD,insalata,insalat,a,,I,fem,,
,,,invernomasc,,inverno,invern,o,,II,masc,,
,,,ippopotamomasc,,ippopotamo,ippopotam,o,,II,masc,,
,kazoo,kazoo,kazoomasc,KAZOO,kazoo,kazo,o,,II,masc,,
,lake,lake,lagomasc,LAKE,lago,lagh,o,,II,masc,,
,,,lampadafem,,lampada,lampad,a,,I,fem,,
,,,lampadinafem,,lampadina,lampadin,a,,I,fem,,
,raspberry,raspberry,lamponemasc,RASPBERRY,lampone,lampon,e,,III,masc,,
,BROAD,BROAD,,,largo,larg,,,,,,
,tin,tin.DIM,latta-DIMfem,TIN.DIM,latta-DIM,lattin,TBD,,,fem,,
,milk,milk,lattemasc,MILK,latte,latt,e,,III,masc,,
,,,lavoromasc,,lavoro,lavor,o,,II,masc,,
,,,lentemasc,,lente,lent,e,,III,masc,,
,fishing_line,fishing_line,lenzafem,FISHING_LINE,lenza,lenz,a,,I,fem,,
,,,lenzuolomasc,,lenzuolo,lenzuol,o,,II,masc,,
,LION,LION,leonemasc,LION,leone,leon,e,,III,masc,ANIM,
,LION,LION.DIM,leone-DIMmasc,LION.DIM,leone-DIM,leoncin,TBD,,,masc,ANIM,
,lioness,lioness,leonessafem,LIONESS,leonessa,leoness,a,,I,fem,ANIM,+FEM
,hare,hare,leprefem,HARE,lepre,lepre,-ø,,VI,fem,ANIM,
,hare,hare,leprefem,HARE,lepre,lepr,e,,III,fem,ANIM,
,leveret,leveret,leprottomasc,LEVERET,leprotto,leprott,o,,II,masc,,
,,,lettomasc,,letto,lett,o,,II,masc,,
,,,lettomasc,,letto,letton,o,,II,masc,,
,,.DIM,letto-DIMmasc,.DIM,letto-DIM,lettin,TBD,,,masc,,
,reader,reader,lettoremasc,READER,lettore,lettor,e,,III,masc,?,
,,,lezionefem,,lezione,lezione,-ø,,VI,fem,,
,,,libromasc,,libro,libron,o,,II,masc,,
,BOOK,BOOK,libromasc,BOOK,libro,libr,o,,II,masc,,
,,,libromasc,,libro,libri>,o,,II,masc,,
,BOOK,BOOK.DIM,libro-DIMmasc,BOOK.DIM,libro-DIM,librett,TBD,,,masc,,
,,,lineafem,,linea,line,a,,I,fem,,
,,,linguafem,,lingua,lingu,a,,I,fem,,
,,.DIM,lingua-DIMfem,.DIM,lingua-DIM,linguett,TBD,,,fem,,
,locomotive,locomotive,locomotivafem,LOCOMOTIVE,locomotiva,locomotiv,a,,I,fem,,
,earthworm,earthworm,lombricomasc,EARTHWORM,lombrico,lombric,o,,II,masc,ANIM,
,,,lottafem,,lotta,lott,a,,I,fem,,
,light,light,lucefem,LIGHT,luce,luc,e,,III,fem,,
,light,light,lucefem,LIGHT,luce,luce,-ø,,VI,fem,,
,,,lucertolafem,,lucertola,lucertol,a,,I,fem,,
,snail,snail,lumacafem,SNAIL,lumaca,lumac,a,,I,fem,ANIM,
,snail,snail,lumacafem,SNAIL,lumaca,lumach,a,,I,fem,ANIM,
,snail,snail.DIM,lumaca-DIMfem,SNAIL.DIM,lumaca-DIM,lumachin,TBD,,,fem,ANIM,
,,,lunafem,,luna,lun,a,,I,fem,,
,LONG,LONG,,,lungo,lungh,,,,,,
,LONG,LONG,,,lungo,lung,,,,,,
,wolf,wolf,lupomasc,WOLF,lupo,lup,o,,II,masc,ANIM,
,stain,stain,macchiafem,STAIN,macchia,macchi,a,,I,fem,,
,stain,stain.DIM,macchia-DIMfem,STAIN.DIM,macchia-DIM,macchiolin,TBD,,,fem,,
,,,macchinafem,,macchina,macchin,a,,I,fem,,
,,.DIM,macchina-DIMfem,.DIM,macchina-DIM,macchinin,TBD,,,fem,,
,,.DIM,macchina-DIMfem,.DIM,macchina-DIM,macchinett,TBD,,,fem,,
,,,macedoniafem,,macedonia,macedoni,a,,I,fem,,
,,,maestromasc,,maestro,maestr,o,,II,masc,,
,magic,magic,,,magico,magic,,,,,,
,stitch,stitch,magliafem,STITCH,maglia,magli,a,,I,fem,,
,stitch,stitch.DIM,maglia-DIMfem,STITCH.DIM,maglia-DIM,magliett,TBD,,,fem,,
,,,magliettafem,,maglietta,magliett,a,,I,fem,,
,pig,pig,maialemasc,PIG,maiale,maial,e,,III,masc,ANIM,
,pig,pig.DIM,maiale-DIMmasc,PIG.DIM,maiale-DIM,maialin,TBD,,,masc,ANIM,
,maize,maize,maismasc,MAIZE,mais,mais,-ø,,VI,masc,,
,illness,illness,malattiafem,ILLNESS,malattia,malatti,a,,I,fem,,
,,,malemasc,,male,mal(e,e,,III,masc,,
,,,mammafem,,mamma,mamm,a,,I,fem,,
,,,mammafem,,mamma,mam(m),a,,I,fem,,
,missing,missing,,,mancante,mancant,,,,,,
,fire_eater,fire_eater,mangiafuocomasc,FIRE_EATER,mangiafuoco,mangiafuoc,o,,II,masc,,
,sleeve,sleeve,manicafem,SLEEVE,manica,manich,a,,I,fem,,
,handle,handle,manigliafem,HANDLE,maniglia,manigli,a,,I,fem,,
,hand,hand,manofem,HAND,mano,mano,-ø,,VI,fem,,
,,,manofem,,mano,mani,o,,,fem,,
,hand,hand.DIM,mano-DIMfem,HAND.DIM,mano-DIM,manin,TBD,,,fem,,
,handle,handle,manopolafem,HANDLE,manopola,manopol,a,,I,fem,,
,handlebar,handlebar,manubriomasc,HANDLEBAR,manubrio,manubri,o,,II,masc,,
,brand,brand,marcafem,BRAND,marca,marc,a,,I,fem,,
,,,maremasc,,mare,mar,e,,III,masc,,
,tide,tide,mareafem,TIDE,marea,mare,a,,I,fem,,
,margin,margin,marginemasc,MARGIN,margine,margin,e,,III,masc,,
,puppet,puppet,marionettafem,PUPPET,marionetta,marionett,a,,I,fem,,
,BROWN,BROWN,,,marrone,marron,,,,,,
,,,mascherafem,,maschera,mascher,a,,I,fem,,
,,,maschiomasc,,maschio,maschi,o,,II,masc,,
,,.DIM,maschio-DIMmasc,.DIM,maschio-DIM,maschiett,TBD,,,masc,,
,,,matitafem,,matita,matit,a,,I,fem,,
,,,matitafem,,matita,matita,-ø,,VI,fem,,
,stepmother,stepmother,matrignafem,STEPMOTHER,matrigna,matrign,a,,I,fem,ANIM,+FEM
,,,matrimoniomasc,,matrimonio,matrimoni,o,,II,masc,,
,,,mattinafem,,mattina,mattin,a,,I,fem,,
,,,mattonemasc,,mattone,matton,e,,III,masc,,
,club,club,mazzafem,CLUB,mazza,mazz,a,,I,fem,,
,medal,medal,medagliafem,MEDAL,medaglia,medagli,a,,I,fem,,
,medicine,medicine,medicinafem,MEDICINE,medicina,medicin,a,,I,fem,,
,,,melafem,,mela,mel,a,,I,fem,,
,,,memoriafem,,memoria,memori,a,,I,fem,,
,,,mercatomasc,,mercato,mercat,o,,II,masc,,
,,.DIM,mercato-DIMmasc,.DIM,mercato-DIM,mercatin,TBD,,,masc,,
,,,mesemasc,,mese,mes,e,,III,masc,,
,message,message,messaggiomasc,MESSAGE,messaggio,messaggi,o,,II,masc,,
,,,metromasc,,metro,metr,o,,II,masc,,
,,,mezzomasc,,mezzo,mezz,o,,II,masc,,
,little_finger,little_finger,mignolomasc,LITTLE_FINGER,mignolo,mignol,o,,II,masc,,
,puff,puff,millefogliemasc,PUFF,millefoglie,millefogli,e,,III,masc,,
,soup,soup,minestrafem,SOUP,minestra,minestr,a,,I,fem,,
,blueberry,blueberry,mirtillomasc,BLUEBERRY,mirtillo,mirtill,o,,II,masc,,
,modern,modern,,,moderno,modern,,,,,,
,,,mogliemasc,,moglie,mogli,e,,III,masc,,
,,,mollafem,,molla,moll,a,,I,fem,,
,,,momentomasc,,momento,moment,o,,II,masc,,
,,,montagnafem,,montagna,montagn,a,,I,fem,,
,measles,measles,morbillomasc,MEASLES,morbillo,morbill,o,,II,masc,,
,,,morsomasc,,morso,mors,o,,II,masc,,
,mortal,mortal,,,mortale,mortal,,,,,,
,,,moscafem,,mosca,mosch,a,,I,fem,,
,MOTO,MOTO,motomasc,MOTO,moto,mot,o,,II,masc,,
,MOTORCYCLE,MOTORCYCLE,motociclettafem,MOTORCYCLE,motocicletta,motociclett,a,,I,fem,,
,,,muccafem,,mucca,mucc,a,,I,fem,,
,,,muccafem,,mucca,mucch,a,,I,fem,,
,bunch,bunch,mucchiomasc,BUNCH,mucchio,mucchi,o,,II,masc,,
,miller,miller,mugnaiomasc,MILLER,mugnaio,mugnai,o,,II,masc,,
,,,muromasc,,muro,mur,o,,II,masc,,
,MUSIC,MUSIC,musicafem,MUSIC,musica,music,a,,I,fem,,
,MUSIC,MUSIC.DIM,musica-DIMfem,MUSIC.DIM,musica-DIM,musichett,TBD,,,fem,,
,VEHICLENOSE,VEHICLENOSE,musomasc,VEHICLENOSE,muso,mus,o,,II,masc,,
,,,nannafem,,nanna,nann,a,,I,fem,,
,,,nannafem,,nanna,nanna,-ø,,VI,fem,,
,dwarf,dwarf,nanofem,DWARF,nano,nan,o,,,fem,ANIM,?
,dwarf,dwarf,nanomasc,DWARF,nano,nan,o,,II,masc,ANIM,?
,NOSE,NOSE,nasomasc,NOSE,naso,nas,o,,II,masc,,
,,,nasomasc,,naso,nason,o,,II,masc,,
,NOSE,NOSE.DIM1,naso-DIMmasc,NOSE.DIM1,naso-DIM,nasett,TBD,,,masc,,
,NOSE,NOSE.DIM2,naso-DIMmasc,NOSE.DIM2,naso-DIM,nasin,TBD,,,masc,,
,ribbon,ribbon,nastromasc,RIBBON,nastro,nastr,o,,II,masc,,
,,,navemasc,,nave,nav,e,,III,masc,,
,,,negoziomasc,,negozio,negozi,o,,II,masc,,
,,,negoziomasc,,negozio,negoz,o,,II,masc,,
,BLACK,BLACK,,,nero,ner,,,,,,
,BLACK,BLACK.SUPER,,,nero-SUPER,nerissim,,,,,,
,,,nevemasc,,neve,nev,e,,III,masc,,
,nephew,nephew.DIM,nipote-DIMfem,NEPHEW.DIM,nipote-DIM,nipotin,TBD,,,fem,ANIM,+FEM
,knot,knot.DIM,nodo-DIMmasc,KNOT.DIM,nodo-DIM,nodin,TBD,,,masc,,
,NAME,NAME,nomemasc,NAME,nome,nom,e,,III,masc,,
,GRANDPARENT,GRANDPARENT,nonnafem,GRANDPARENT,nonna,nonn,a,,I,fem,ANIM,+FEM
,GRANDPARENT,GRANDPARENT.DIM,nonna-DIMfem,GRANDPARENT.DIM,nonna-DIM,nonnin,TBD,,,fem,ANIM,+FEM
,GRANDPARENT,GRANDPARENT,nonnomasc,GRANDPARENT,nonno,nonn,o,,II,masc,ANIM,-FEM
,NORMAL,NORMAL,,,normale,normal,,,,,,
,NIGHT,NIGHT,nottemasc,NIGHT,notte,nott,e,,III,masc,,
,bare,bare,,,nudo,nud,,,,,,
,NUMBER,NUMBER,numeromasc,NUMBER,numero,numer,o,,II,masc,,
,NEW,NEW,,,nuovo,nuov,,,,,,
,goose,goose,ocafem,GOOSE,oca,oc,a,,I,fem,,
,goose,goose,ocafem,GOOSE,oca,och,a,,I,fem,ANIM,
,goose,goose.DIM,oca-DIMfem,GOOSE.DIM,oca-DIM,ochett,TBD,,,fem,ANIM,
,glasses,glasses,occhialemasc,GLASSES,occhiale,occhial,e,,III,masc,,
,look,look,occhiatafem,LOOK,occhiata,occhiat,a,,I,fem,,
,eye,eye,occhiomasc,EYE,occhio,occh,o,,II,masc,,
,eye,eye,occhiomasc,EYE,occhio,occhi,o,,II,masc,,
,eye,eye.DIM,occhio-DIMmasc,EYE.DIM,occhio-DIM,occhiolin,TBD,,,masc,,
,eye,eye.DIM,occhio-DIMmasc,EYE.DIM,occhio-DIM,occhiett,TBD,,,masc,,
,object,object.DIM,oggetto-DIMmasc,OBJECT.DIM,oggetto-DIM,oggettin,TBD,,,masc,,
,,,ombelicomasc,,ombelico,ombelic,o,,II,masc,,
,,,ombrellomasc,,ombrello,ombrell,o,,II,masc,,
,wave,wave,ondafem,WAVE,onda,ond,a,,I,fem,,
,ogre,ogre,orcomasc,OGRE,orco,orc,o,,II,masc,ANIM,
,,,ordinemasc,,ordine,ordin,e,,III,masc,,
,,,orecchiafem,,orecchia,orecchi,a,,I,fem,,
,ear,ear,orecchiomasc,EAR,orecchio,orecchi,o,,II,masc,,
,,,oromasc,,oro,or,o,,II,masc,,
,,,orologiomasc,,orologio,orologi,o,,II,masc,,
,BEAR,BEAR,orsomasc,BEAR,orso,ors,o,,II,masc,,
,,,orsomasc,,orso,orso,-ø,,VI,masc,,
,BEAR,BEAR.DIM,orso-DIMmasc,BEAR.DIM,orso-DIM,orsett,TBD,,,masc,,
,BEAR,BEAR.DIM.DIM,orso-DIM-DIMmasc,BEAR.DIM.DIM,orso-DIM-DIM,orsettin,TBD,,,masc,,
,hospital,hospital,ospedalemasc,HOSPITAL,ospedale,ospedal,e,,III,masc,,
,otitis,otitis,otitemasc,OTITIS,otite,otit,e,,III,masc,,
,oval,oval,,,ovale,oval,,,,,,
,wadding,wadding,ovattafem,WADDING,ovatta,ovatt,a,,I,fem,,
,package,package.DIM,pacco-DIMmasc,PACKAGE.DIM,pacco-DIM,pacchett,TBD,,,masc,,
,package,package.DIM,pacco-DIM-DIMmasc,PACKAGE.DIM,pacco-DIM-DIM,pacchettin,TBD,,,masc,,
,landlady,landlady,padronafem,LANDLADY,padrona,padron,a,,I,fem,,
,master,master,padronemasc,MASTER,padrone,padron,e,,III,masc,ANIM,?
,,,paesemasc,,paese,paes,e,,III,masc,,
,,.DIM,paese-DIMmasc,.DIM,paese-DIM,paesin,TBD,,,masc,,
,,,paginafem,,pagina,pagin,a,,I,fem,,
,clown,clown,pagliacciomasc,CLOWN,pagliaccio,pagliacci,o,,II,masc,ANIM,?
,,,paiomasc,,paio,pai,o,,II,masc,,
,shovel,shovel,palafem,SHOVEL,pala,pal,a,,I,fem,,
,shovel,shovel.DIM,pala-DIMfem,SHOVEL.DIM,pala-DIM,palett,TBD,,,fem,,
,,,palestrafem,,palestra,palestr,a,,I,fem,,
,,,pallafem,,palla,pall,a,,I,fem,,
,,,pallafem,,palla,tat,a,,I,fem,,
,,.DIM,palla-DIMfem,.DIM,palla-DIM,pallin,TBD,,,fem,,
,,.DIM,palla-DIMfem,.DIM,palla-DIM,pallina,TBD,,,fem,,
,ball,ball.DIM,palla-DIMmasc,BALL.DIM,palla-DIM,pallin,TBD,,,masc,,
,,,pallacanestromasc,,pallacanestro,pallacanestr,o,,II,masc,,
,balloon,balloon,palloncinomasc,BALLOON,palloncino,palloncin,o,,II,masc,,
,,,pallonemasc,,pallone,pallon,e,,III,masc,,
,abacus,abacus,pallottolieremasc,ABACUS,pallottoliere,pallottolier,e,,III,masc,,
,pole,pole,palomasc,POLE,palo,pal,o,,II,masc,,
,stomach,stomach,panciafem,STOMACH,pancia,panci,a,,I,fem,,
,,,pancionefem,,pancione,pancione,-ø,,VI,fem,,
,panda,panda,pandamasc,PANDA,panda,panda,-ø,,VI,masc,ANIM,
,,,panemasc,,pane,pan,e,,III,masc,,
,,.DIM,pane-DIMmasc,.DIM,pane-DIM,pancin,TBD,,,masc,,
,,,pannafem,,panna,pann,a,,I,fem,,
,,,pannolinomasc,,pannolino,pannolin,o,,II,masc,,
,panther,panther,panterafem,PANTHER,pantera,panter,a,,I,fem,ANIM,
,slipper,slipper,pantofolafem,SLIPPER,pantofola,pantofol,a,,I,fem,,
,slipper,slipper.DIM,pantofola-DIMfem,SLIPPER.DIM,pantofola-DIM,pantofolin,TBD,,,fem,,
,,,papafem,,papa,pap,a,,I,fem,,
,,,papàmasc,,papà,papà,-ø,,VI,masc,,
,,,papàmasc,,papà,pa(pà),-ø,,VI,masc,,
,,,papàmasc,,papà,papà>.,-ø,,VI,masc,,
,gosling,gosling.DIM,papere-DIMfem,GOSLING.DIM,papere-DIM,paperett,TBD,,,fem,ANIM,
,baby_food,baby_food,pappafem,BABY_FOOD,pappa,papp,a,,I,fem,,
,parrot,parrot,pappagallomasc,PARROT,pappagallo,pappagall,o,,II,masc,ANIM,
,parrot,parrot.DIM,pappagallo-DIMmasc,PARROT.DIM,pappagallo-DIM,pappagallin,TBD,,,masc,ANIM,
,,,paretemasc,,parete,paret,e,,III,masc,,
,,,parolafem,,parola,parol,a,,I,fem,,
,,,partemasc,,parte,part,e,,III,masc,,
,,,partitafem,,partita,partit,a,,I,fem,,
,,,passeggiatafem,,passeggiata,passeggiat,a,,I,fem,,
,sparrow,sparrow.DIM,passero-DIMmasc,SPARROW.DIM,passero-DIM,passerott,TBD,,,masc,ANIM,
,,,pastasciuttafem,,pastasciutta,pastasciutt,a,,I,fem,,
