delete?,ROOT,ROOT+DIM,unique,UPPER,Italian lemma,Italian stem form,singular affix,pl affix,class,grammatical gender,animate?,feminine?
,STICK,STICK.DIM,bastone-DIMmasc,STICK.DIM,bastone-DIM,bastoncin,o,i,II,masc,,
,battle,battle,battagliafem,BATTLE,battaglia,battagli,a,,I,fem,,
,drums,drums,batteriafem,DRUMS,batteria,batteri,a,,I,fem,,
,carpet_beater,carpet_beater,battipannimasc,CARPET_BEATER,battipanni,battipanni,-ø,,VI,masc,,
,BIB,BIB,bavaglinomasc,BIB,bavaglino,bavaglin,o,,II,masc,,
,NICE,NICE,bello,,bello,bell,,,,,,
,petrol,petrol,benzinafem,PETROL,benzina,benzin,a,,I,fem,,
,cap,cap,berrettomasc,CAP,berretto,berrett,o,,II,masc,,
,cap,cap.DIM,berretto-DIMmasc,CAP.DIM,berretto-DIM,berrettin,o,i,II,masc,,
,beast,beast,bestiafem,BEAST,bestia,besti,a,,I,fem,ANIM,
,beast,beast.DIM,bestia-DIMfem,BEAST.DIM,bestia-DIM,bestiolin,a,e,I,fem,ANIM,
,white,white,bianco,,bianco,bianch,,,,,,
,white,white,bianco,,bianco,bianc,,,,,,
,BABYBOTTLE,BABYBOTTLE,biberonmasc,BABYBOTTLE,biberon,biberon,-ø,,VI,masc,,
,DRINKINGGLASS,DRINKINGGLASS,bicchieremasc,DRINKINGGLASS,bicchiere,bicchier,e,,III,masc,,
,BIKE,BIKE,bicimasc,BIKE,bici,bici,-ø,,VI,masc,,
,BICYCLE,BICYCLE,biciclettafem,BICYCLE,bicicletta,biciclett,a,,I,fem,,
,caretaker,caretaker,bidellomasc,CARETAKER,bidello,bidell,o,,II,masc,,
,drum,drum,bidonemasc,DRUM,bidone,bidon,e,,III,masc,,
,TICKET,TICKET,bigliettomasc,TICKET,biglietto,bigliett,o,,II,masc,,
,BABY,BABY,bimbofem,BABY,bimbo,bimb,a,e,I,fem,ANIM,
,BABY,BABY,bimbomasc,BABY,bimbo,bimb,o,i,II,masc,ANIM,
delete,,,bimbomasc,,bimbo,bimbi,o,,II,masc,ANIM,
,rascal,rascal,birbafem,RASCAL,birba,birb,a,,I,fem,ANIM,both?
,ROGUE,ROGUE,birbantemasc,ROGUE,birbante,birbant,e,,III,masc,,
,cheeky,cheeky,,,birichino,birichin,,,,,,
,NINEPIN,NINEPIN,birillomasc,NINEPIN,birillo,birill,o,,II,masc,,
,snake,snake,bisciafem,SNAKE,biscia,bisci,a,,I,fem,ANIM,
,BISCUIT,BISCUIT,biscottomasc,BISCUIT,biscotto,biscott,o,,II,masc,,
,BISCUIT,BISCUIT.DIM,biscotto-DIMmasc,BISCUIT.DIM,biscotto-DIM,biscottin,o,i,II,masc,,
,bison,bison,bisontemasc,BISON,bisonte,bisont,e,,III,masc,ANIM,
,blitz,blitz,blitzmasc,BLITZ,blitz,blitz,-ø,,VI,masc,,
,blue,blue,,,blu,blu,,,,,,
