Line,set(),{'la_1'},{'a_2'},{'i_1'},{'o_1'},{'e_2'},"{'e_2', 'a_2'}","{'la_1', 'e_2'}","{'i_1', 'o_1'}",{'la_2'},{'a_3'},"{'i_1', 'a_2'}","{'e_2', 'o_1'}"
0,10.1,10.0,,,,,,,,,,,
1,10.1,0,10.0,10.1,,,,,,,,,
2,10.1,0,10.1,10.1,,,,,,,,,
3,10.1,0,10.299999999999999,10.1,,,,,,,,,
4,10.1,0,10.599999999999998,10.1,,,,,,,,,
5,10.1,0,10.599999999999998,10.1,10.0,,,,,,,,
6,10.1,0,10.799999999999997,10.1,10.0,,,,,,,,
7,10.1,0,10.799999999999997,10.1,10.0,,,,,,,,
8,10.1,0,10.799999999999997,10.1,10.1,,,,,,,,
9,10.1,0,10.799999999999997,10.1,10.2,,,,,,,,
10,10.2,0,10.899999999999997,10.1,10.2,,,,,,,,
11,10.2,0,11.099999999999996,10.1,10.2,,,,,,,,
12,10.2,0,11.099999999999996,10.1,10.2,,,,,,,,
13,10.2,0,11.399999999999995,10.1,10.2,,,,,,,,
14,10.2,0,11.399999999999995,10.1,10.499999999999998,,,,,,,,
15,10.2,0,11.699999999999994,10.1,10.499999999999998,,,,,,,,
16,10.2,0,11.999999999999993,10.1,10.499999999999998,,,,,,,,
17,10.2,0,11.999999999999993,10.1,10.499999999999998,,,,,,,,
18,10.2,0,12.299999999999992,10.1,10.499999999999998,,,,,,,,
19,10.2,0,12.399999999999991,10.1,10.499999999999998,,,,,,,,
20,10.2,0,12.59999999999999,10.1,10.499999999999998,,,,,,,,
21,10.2,0,12.79999999999999,10.1,10.499999999999998,,,,,,,,
22,10.2,0,12.99999999999999,10.1,10.499999999999998,,,,,,,,
23,10.2,0,13.499999999999988,10.1,10.499999999999998,,,,,,,,
24,10.2,0,13.499999999999988,10.1,10.499999999999998,,,,,,,,
25,10.2,0,13.799999999999986,10.2,10.499999999999998,,,,,,,,
26,10.2,0,14.299999999999985,10.2,10.499999999999998,,,,,,,,
27,10.2,0,14.499999999999984,10.2,10.499999999999998,,,,,,,,
28,10.299999999999999,0,14.799999999999983,10.2,10.499999999999998,,,,,,,,
29,10.299999999999999,0,15.099999999999982,10.2,10.499999999999998,,,,,,,,
30,10.299999999999999,0,15.59999999999998,10.2,10.499999999999998,,,,,,,,
31,10.299999999999999,0,15.59999999999998,10.2,10.599999999999998,,,,,,,,
32,10.299999999999999,0,16.09999999999998,10.2,10.599999999999998,,,,,,,,
33,10.299999999999999,0,16.09999999999998,10.2,10.699999999999998,,,,,,,,
34,10.299999999999999,0,16.399999999999984,10.2,10.699999999999998,,,,,,,,
35,10.299999999999999,0,16.599999999999987,10.2,10.699999999999998,,,,,,,,
36,10.299999999999999,0,16.79999999999999,10.2,10.699999999999998,,,,,,,,
37,10.299999999999999,0,16.79999999999999,10.2,10.699999999999998,,,,,,,,
38,10.299999999999999,0,16.79999999999999,10.2,10.799999999999997,,,,,,,,
39,10.299999999999999,0,16.89999999999999,10.2,10.799999999999997,10.0,,,,,,,
40,10.299999999999999,0,17.199999999999996,10.2,10.799999999999997,10.0,,,,,,,
41,10.299999999999999,0,17.199999999999996,10.2,10.799999999999997,10.0,,,,,,,
42,10.299999999999999,0,17.299999999999997,10.2,10.799999999999997,10.0,,,,,,,
43,10.299999999999999,0,17.299999999999997,10.2,10.899999999999997,10.0,,,,,,,
44,10.299999999999999,0,17.700000000000003,10.2,10.899999999999997,10.0,,,,,,,
45,10.299999999999999,0,17.800000000000004,10.2,10.899999999999997,10.0,,,,,,,
46,10.299999999999999,0,18.10000000000001,10.2,10.899999999999997,10.1,,,,,,,
47,10.299999999999999,0,18.20000000000001,10.399999999999999,10.899999999999997,10.1,,,,,,,
48,10.299999999999999,0,18.30000000000001,10.499999999999998,10.899999999999997,10.1,,,,,,,
49,10.299999999999999,0,18.80000000000002,10.499999999999998,10.899999999999997,10.1,,,,,,,
50,10.299999999999999,0,19.100000000000023,10.499999999999998,10.899999999999997,10.1,,,,,,,
51,10.299999999999999,0,19.50000000000003,10.499999999999998,10.899999999999997,10.1,,,,,,,
52,10.299999999999999,0,19.50000000000003,10.499999999999998,10.899999999999997,10.1,,,,,,,
53,10.299999999999999,0,19.50000000000003,10.499999999999998,10.899999999999997,10.1,,,,,,,
54,10.299999999999999,0,19.800000000000033,10.499999999999998,10.899999999999997,10.1,,,,,,,
55,10.299999999999999,0,20.100000000000037,10.499999999999998,10.899999999999997,10.1,,,,,,,
56,10.299999999999999,0,20.700000000000045,10.499999999999998,10.899999999999997,10.1,,,,,,,
57,10.299999999999999,0,21.300000000000054,10.499999999999998,10.899999999999997,10.1,,,,,,,
58,10.299999999999999,0,21.300000000000054,10.499999999999998,10.899999999999997,10.1,,,,,,,
59,10.299999999999999,0,21.300000000000054,10.499999999999998,10.999999999999996,10.1,,,,,,,
60,10.299999999999999,0,21.400000000000055,10.499999999999998,10.999999999999996,10.1,,,,,,,
61,10.299999999999999,0,21.400000000000055,10.499999999999998,10.999999999999996,10.1,,,,,,,
62,10.299999999999999,0,21.400000000000055,10.499999999999998,10.999999999999996,10.1,,,,,,,
63,10.299999999999999,0,21.80000000000006,10.499999999999998,10.999999999999996,10.1,,,,,,,
64,10.299999999999999,0,22.200000000000067,10.499999999999998,10.999999999999996,10.1,,,,,,,
65,10.299999999999999,0,22.200000000000067,10.499999999999998,10.999999999999996,10.1,,,,,,,
66,10.299999999999999,0,22.50000000000007,10.499999999999998,10.999999999999996,10.1,,,,,,,
