trigger_label,trigger_values,trigger_diacritic,keep_values,weight
definite,"{'+atomic', '+definite'}",a_2,{'+definite'},501.9000000000456
definite,"{'+definite', '-atomic'}",i_1,{'+definite'},298.6999999999994
definite,"{'+atomic', '+definite'}",o_1,{'+definite'},461.0000000000363
definite,"{'+atomic', '-definite'}",a_2,{'-definite'},199.69999999999294
definite,"{'+atomic', '-definite'}",o_1,{'-definite'},172.1999999999945
definite,"{'+definite', '-atomic'}",e_2,{'+definite'},282.3999999999957
definite,"{'+atomic', '-definite'}",a_3,{'+atomic'},109.99999999999802
definite,"{'+atomic', '+definite'}",o_3,{'+atomic'},219.09999999999184
definite,{'+atomic'},a_2,set(),32.60000000000019
