Values,Weight,ANCHOR,BALL,BOOK,CASTLE,FLOWER,FROG,KEY,MOUSE,POTATO,SHELF,SHIP,TOMATO
{'a_1'},18.500000000000014,1,1,0,0,0,1,1,0,1,1,1,0
{'o_1'},18.30000000000001,0,0,1,1,1,0,0,1,0,1,1,1
{'i_1'},15.099999999999982,0,0,1,1,1,1,0,1,0,1,0,1
{'e_2'},14.899999999999983,1,1,0,0,0,1,1,0,1,0,1,0
set(),10.599999999999998,0,0,0,0,1,0,1,0,0,1,0,0
{'lo_1'},0,0,0,1,1,1,0,0,1,0,1,1,1
"{'li_1', 'i_1'}",0,0,0,1,1,1,1,0,1,0,1,0,1
"{'a_1', 'la_1'}",0,1,1,0,0,0,1,1,0,1,1,1,0
"{'le_1', 'e_2'}",0,1,1,0,0,0,1,1,0,1,0,1,0
