Line,set(),{'lo_1'},{'o_1'},"{'li_1', 'i_1'}",{'i_1'},"{'a_1', 'la_1'}",{'a_1'},"{'le_1', 'e_2'}",{'e_2'}
0,10.2,10.1,,,,,,,
1,10.2,0,10.1,0,10.1,,,,
2,10.399999999999999,0,10.499999999999998,0,10.1,,,,
3,10.399999999999999,0,10.499999999999998,0,10.299999999999999,0,10.1,,
4,10.399999999999999,0,10.699999999999998,0,10.299999999999999,0,10.299999999999999,0,10.2
5,10.499999999999998,0,10.699999999999998,0,10.299999999999999,0,10.699999999999998,0,10.2
6,10.499999999999998,0,10.699999999999998,0,10.499999999999998,0,11.399999999999995,0,10.399999999999999
7,10.499999999999998,0,10.899999999999997,0,10.499999999999998,0,11.599999999999994,0,11.099999999999996
8,10.499999999999998,0,10.999999999999996,0,10.499999999999998,0,11.999999999999993,0,11.099999999999996
9,10.499999999999998,0,11.699999999999994,0,10.699999999999998,0,12.099999999999993,0,11.299999999999995
10,10.599999999999998,0,11.899999999999993,0,11.199999999999996,0,12.299999999999992,0,11.299999999999995
11,10.599999999999998,0,12.299999999999992,0,11.199999999999996,0,12.299999999999992,0,11.299999999999995
12,10.599999999999998,0,12.299999999999992,0,11.399999999999995,0,12.99999999999999,0,11.499999999999995
13,10.599999999999998,0,12.499999999999991,0,11.399999999999995,0,13.199999999999989,0,11.999999999999993
14,10.599999999999998,0,12.499999999999991,0,11.399999999999995,0,13.599999999999987,0,11.999999999999993
15,10.599999999999998,0,12.499999999999991,0,11.699999999999994,0,14.299999999999985,0,12.199999999999992
16,10.599999999999998,0,12.69999999999999,0,11.699999999999994,0,14.499999999999984,0,12.69999999999999
17,10.599999999999998,0,12.69999999999999,0,11.699999999999994,0,14.899999999999983,0,12.69999999999999
18,10.599999999999998,0,12.69999999999999,0,11.899999999999993,0,15.59999999999998,0,12.89999999999999
19,10.599999999999998,0,12.89999999999999,0,11.899999999999993,0,15.79999999999998,0,13.399999999999988
20,10.599999999999998,0,12.89999999999999,0,11.899999999999993,0,16.19999999999998,0,13.399999999999988
21,10.599999999999998,0,12.89999999999999,0,12.099999999999993,0,17.099999999999994,0,13.599999999999987
22,10.599999999999998,0,13.099999999999989,0,12.099999999999993,0,17.299999999999997,0,14.099999999999985
23,10.599999999999998,0,13.099999999999989,0,12.099999999999993,0,17.700000000000003,0,14.099999999999985
24,10.599999999999998,0,13.799999999999986,0,12.299999999999992,0,17.700000000000003,0,14.299999999999985
25,10.599999999999998,0,13.999999999999986,0,12.79999999999999,0,17.900000000000006,0,14.299999999999985
26,10.599999999999998,0,14.399999999999984,0,12.79999999999999,0,17.900000000000006,0,14.299999999999985
27,10.599999999999998,0,15.099999999999982,0,12.99999999999999,0,17.900000000000006,0,14.499999999999984
28,10.599999999999998,0,15.299999999999981,0,13.499999999999988,0,18.10000000000001,0,14.499999999999984
29,10.599999999999998,0,15.69999999999998,0,13.499999999999988,0,18.10000000000001,0,14.499999999999984
30,10.599999999999998,0,16.399999999999984,0,13.699999999999987,0,18.10000000000001,0,14.699999999999983
31,10.599999999999998,0,16.599999999999987,0,14.199999999999985,0,18.30000000000001,0,14.699999999999983
32,10.599999999999998,0,16.999999999999993,0,14.199999999999985,0,18.30000000000001,0,14.699999999999983
33,10.599999999999998,0,17.700000000000003,0,14.399999999999984,0,18.30000000000001,0,14.899999999999983
34,10.599999999999998,0,17.900000000000006,0,15.099999999999982,0,18.500000000000014,0,14.899999999999983
