Line,{'+definite'} - False,{'-definite'} - False,{'+atomic'} - True,{'-atomic'} - True
0,10.1,10.0,10.1,10.0
1,10.2,10.0,10.1,10.1
2,10.299999999999999,10.0,10.2,10.1
3,10.399999999999999,10.0,10.299999999999999,10.1
4,10.499999999999998,10.0,10.399999999999999,10.1
5,10.599999999999998,10.0,10.499999999999998,10.1
6,10.699999999999998,10.0,10.599999999999998,10.1
7,10.799999999999997,10.0,10.699999999999998,10.1
8,10.899999999999997,10.0,10.799999999999997,10.1
9,10.999999999999996,10.0,10.899999999999997,10.1
10,10.999999999999996,10.1,10.999999999999996,10.1
11,11.099999999999996,10.1,11.099999999999996,10.1
12,11.199999999999996,10.1,11.199999999999996,10.1
13,11.199999999999996,10.1,11.199999999999996,10.1
14,11.299999999999995,10.1,11.299999999999995,10.1
15,11.399999999999995,10.1,11.399999999999995,10.1
16,11.499999999999995,10.1,11.499999999999995,10.1
17,11.599999999999994,10.1,11.599999999999994,10.1
18,11.699999999999994,10.1,11.699999999999994,10.1
19,11.699999999999994,10.2,11.799999999999994,10.1
20,11.699999999999994,10.299999999999999,11.899999999999993,10.1
21,11.799999999999994,10.299999999999999,11.999999999999993,10.1
22,11.899999999999993,10.299999999999999,11.999999999999993,10.2
23,11.999999999999993,10.299999999999999,12.099999999999993,10.2
24,11.999999999999993,10.299999999999999,12.099999999999993,10.2
25,12.099999999999993,10.299999999999999,12.199999999999992,10.2
26,12.199999999999992,10.299999999999999,12.299999999999992,10.2
27,12.199999999999992,10.299999999999999,12.299999999999992,10.2
28,12.199999999999992,10.299999999999999,12.299999999999992,10.2
29,12.299999999999992,10.299999999999999,12.399999999999991,10.2
30,12.399999999999991,10.299999999999999,12.499999999999991,10.2
31,12.399999999999991,10.399999999999999,12.59999999999999,10.2
32,12.499999999999991,10.399999999999999,12.69999999999999,10.2
33,12.499999999999991,10.499999999999998,12.79999999999999,10.2
34,12.59999999999999,10.499999999999998,12.89999999999999,10.2
35,12.59999999999999,10.499999999999998,12.89999999999999,10.2
36,12.59999999999999,10.599999999999998,12.99999999999999,10.2
37,12.69999999999999,10.599999999999998,13.099999999999989,10.2
38,12.79999999999999,10.599999999999998,13.199999999999989,10.2
39,12.79999999999999,10.599999999999998,13.199999999999989,10.2
40,12.79999999999999,10.599999999999998,13.199999999999989,10.2
41,12.79999999999999,10.599999999999998,13.199999999999989,10.2
42,12.89999999999999,10.599999999999998,13.199999999999989,10.299999999999999
43,12.89999999999999,10.599999999999998,13.199999999999989,10.299999999999999
44,12.99999999999999,10.599999999999998,13.299999999999988,10.299999999999999
45,13.099999999999989,10.599999999999998,13.299999999999988,10.399999999999999
46,13.099999999999989,10.599999999999998,13.299999999999988,10.399999999999999
47,13.199999999999989,10.599999999999998,13.299999999999988,10.499999999999998
48,13.299999999999988,10.599999999999998,13.299999999999988,10.599999999999998
49,13.299999999999988,10.599999999999998,13.299999999999988,10.599999999999998
50,13.299999999999988,10.599999999999998,13.299999999999988,10.599999999999998
51,13.299999999999988,10.599999999999998,13.299999999999988,10.599999999999998
52,13.299999999999988,10.599999999999998,13.299999999999988,10.599999999999998
53,13.399999999999988,10.599999999999998,13.399999999999988,10.599999999999998
54,13.499999999999988,10.599999999999998,13.499999999999988,10.599999999999998
55,13.599999999999987,10.599999999999998,13.599999999999987,10.599999999999998
56,13.699999999999987,10.599999999999998,13.699999999999987,10.599999999999998
57,13.799999999999986,10.599999999999998,13.799999999999986,10.599999999999998
58,13.799999999999986,10.599999999999998,13.799999999999986,10.599999999999998
59,13.899999999999986,10.599999999999998,13.899999999999986,10.599999999999998
60,13.999999999999986,10.599999999999998,13.899999999999986,10.699999999999998
61,14.099999999999985,10.599999999999998,13.999999999999986,10.699999999999998
62,14.099999999999985,10.599999999999998,13.999999999999986,10.699999999999998
63,14.099999999999985,10.599999999999998,13.999999999999986,10.699999999999998
64,14.099999999999985,10.599999999999998,13.999999999999986,10.699999999999998
65,14.199999999999985,10.599999999999998,14.099999999999985,10.699999999999998
66,14.199999999999985,10.599999999999998,14.099999999999985,10.699999999999998
67,14.199999999999985,10.599999999999998,14.099999999999985,10.699999999999998
68,14.299999999999985,10.599999999999998,14.099999999999985,10.799999999999997
69,14.399999999999984,10.599999999999998,14.199999999999985,10.799999999999997
70,14.499999999999984,10.599999999999998,14.299999999999985,10.799999999999997
71,14.499999999999984,10.699999999999998,14.399999999999984,10.799999999999997
72,14.599999999999984,10.699999999999998,14.399999999999984,10.899999999999997
73,14.599999999999984,10.799999999999997,14.499999999999984,10.899999999999997
74,14.599999999999984,10.799999999999997,14.499999999999984,10.899999999999997
75,14.699999999999983,10.799999999999997,14.599999999999984,10.899999999999997
76,14.699999999999983,10.799999999999997,14.599999999999984,10.899999999999997
77,14.699999999999983,10.799999999999997,14.599999999999984,10.899999999999997
78,14.799999999999983,10.799999999999997,14.699999999999983,10.899999999999997
79,14.799999999999983,10.799999999999997,14.699999999999983,10.899999999999997
80,14.799999999999983,10.799999999999997,14.699999999999983,10.899999999999997
81,14.899999999999983,10.799999999999997,14.699999999999983,10.999999999999996
82,14.899999999999983,10.799999999999997,14.699999999999983,10.999999999999996
83,14.899999999999983,10.799999999999997,14.699999999999983,10.999999999999996
84,14.899999999999983,10.799999999999997,14.699999999999983,10.999999999999996
85,14.999999999999982,10.799999999999997,14.799999999999983,10.999999999999996
86,14.999999999999982,10.799999999999997,14.799999999999983,10.999999999999996
87,15.099999999999982,10.799999999999997,14.899999999999983,10.999999999999996
88,15.199999999999982,10.799999999999997,14.999999999999982,10.999999999999996
89,15.199999999999982,10.899999999999997,15.099999999999982,10.999999999999996
90,15.199999999999982,10.899999999999997,15.099999999999982,10.999999999999996
91,15.199999999999982,10.999999999999996,15.199999999999982,10.999999999999996
92,15.299999999999981,10.999999999999996,15.299999999999981,10.999999999999996
93,15.299999999999981,10.999999999999996,15.299999999999981,10.999999999999996
94,15.39999999999998,10.999999999999996,15.39999999999998,10.999999999999996
95,15.39999999999998,10.999999999999996,15.39999999999998,10.999999999999996
96,15.49999999999998,10.999999999999996,15.49999999999998,10.999999999999996
97,15.59999999999998,10.999999999999996,15.59999999999998,10.999999999999996
98,15.69999999999998,10.999999999999996,15.69999999999998,10.999999999999996
99,15.69999999999998,10.999999999999996,15.69999999999998,10.999999999999996
100,15.79999999999998,10.999999999999996,15.79999999999998,10.999999999999996
101,15.899999999999979,10.999999999999996,15.899999999999979,10.999999999999996
102,15.999999999999979,10.999999999999996,15.999999999999979,10.999999999999996
103,16.09999999999998,10.999999999999996,16.09999999999998,10.999999999999996
104,16.19999999999998,10.999999999999996,16.19999999999998,10.999999999999996
105,16.299999999999983,10.999999999999996,16.299999999999983,10.999999999999996
106,16.399999999999984,10.999999999999996,16.399999999999984,10.999999999999996
107,16.499999999999986,10.999999999999996,16.499999999999986,10.999999999999996
108,16.599999999999987,10.999999999999996,16.599999999999987,10.999999999999996
109,16.599999999999987,10.999999999999996,16.599999999999987,10.999999999999996
110,16.69999999999999,10.999999999999996,16.69999999999999,10.999999999999996
111,16.79999999999999,10.999999999999996,16.79999999999999,10.999999999999996
112,16.89999999999999,10.999999999999996,16.89999999999999,10.999999999999996
113,16.89999999999999,10.999999999999996,16.89999999999999,10.999999999999996
114,16.89999999999999,10.999999999999996,16.89999999999999,10.999999999999996
115,16.999999999999993,10.999999999999996,16.999999999999993,10.999999999999996
116,17.099999999999994,10.999999999999996,16.999999999999993,11.099999999999996
117,17.099999999999994,10.999999999999996,16.999999999999993,11.099999999999996
118,17.199999999999996,10.999999999999996,17.099999999999994,11.099999999999996
119,17.299999999999997,10.999999999999996,17.199999999999996,11.099999999999996
120,17.299999999999997,10.999999999999996,17.199999999999996,11.099999999999996
121,17.299999999999997,10.999999999999996,17.199999999999996,11.099999999999996
122,17.299999999999997,10.999999999999996,17.199999999999996,11.099999999999996
123,17.4,10.999999999999996,17.299999999999997,11.099999999999996
124,17.4,11.099999999999996,17.4,11.099999999999996
125,17.4,11.199999999999996,17.5,11.099999999999996
126,17.5,11.199999999999996,17.6,11.099999999999996
127,17.6,11.199999999999996,17.700000000000003,11.099999999999996
128,17.6,11.299999999999995,17.800000000000004,11.099999999999996
129,17.6,11.299999999999995,17.800000000000004,11.099999999999996
130,17.6,11.299999999999995,17.800000000000004,11.099999999999996
131,17.700000000000003,11.299999999999995,17.900000000000006,11.099999999999996
132,17.800000000000004,11.299999999999995,17.900000000000006,11.199999999999996
133,17.900000000000006,11.299999999999995,18.000000000000007,11.199999999999996
134,17.900000000000006,11.299999999999995,18.000000000000007,11.199999999999996
135,18.000000000000007,11.299999999999995,18.10000000000001,11.199999999999996
136,18.10000000000001,11.299999999999995,18.20000000000001,11.199999999999996
137,18.20000000000001,11.299999999999995,18.30000000000001,11.199999999999996
138,18.30000000000001,11.299999999999995,18.400000000000013,11.199999999999996
139,18.30000000000001,11.299999999999995,18.400000000000013,11.199999999999996
140,18.400000000000013,11.299999999999995,18.500000000000014,11.199999999999996
141,18.500000000000014,11.299999999999995,18.600000000000016,11.199999999999996
142,18.600000000000016,11.299999999999995,18.700000000000017,11.199999999999996
143,18.700000000000017,11.299999999999995,18.80000000000002,11.199999999999996
144,18.80000000000002,11.299999999999995,18.90000000000002,11.199999999999996
145,18.90000000000002,11.299999999999995,19.00000000000002,11.199999999999996
146,19.00000000000002,11.299999999999995,19.100000000000023,11.199999999999996
147,19.00000000000002,11.299999999999995,19.100000000000023,11.199999999999996
148,19.100000000000023,11.299999999999995,19.200000000000024,11.199999999999996
149,19.100000000000023,11.299999999999995,19.200000000000024,11.199999999999996
150,19.200000000000024,11.299999999999995,19.300000000000026,11.199999999999996
