Line,{'+feminine'},{'-feminine'},set()
0,10.1,10.0,10.0
1,10.1,10.1,10.0
2,10.1,10.1,10.0
3,10.1,10.299999999999999,10.0
4,10.1,10.299999999999999,10.0
5,10.1,10.299999999999999,10.0
6,10.399999999999999,10.299999999999999,10.0
7,10.499999999999998,10.299999999999999,10.0
8,10.599999999999998,10.299999999999999,10.0
9,10.599999999999998,10.299999999999999,10.0
10,10.599999999999998,10.599999999999998,10.0
11,10.599999999999998,10.599999999999998,10.0
12,10.899999999999997,10.599999999999998,10.0
13,10.899999999999997,10.599999999999998,10.0
14,11.199999999999996,10.599999999999998,10.0
15,11.199999999999996,10.899999999999997,10.0
16,11.199999999999996,10.899999999999997,10.0
17,11.199999999999996,10.899999999999997,10.0
18,11.199999999999996,10.999999999999996,10.0
19,11.299999999999995,10.999999999999996,10.0
20,11.299999999999995,11.099999999999996,10.0
21,11.299999999999995,11.199999999999996,10.0
22,11.399999999999995,11.199999999999996,10.0
23,11.399999999999995,11.299999999999995,10.0
24,11.399999999999995,11.299999999999995,10.0
25,11.399999999999995,11.599999999999994,10.0
26,11.399999999999995,11.699999999999994,10.0
27,11.499999999999995,11.699999999999994,10.0
28,11.499999999999995,11.699999999999994,10.0
29,11.799999999999994,11.699999999999994,10.0
30,11.799999999999994,11.899999999999993,10.0
31,11.799999999999994,11.899999999999993,10.0
32,12.099999999999993,11.899999999999993,10.0
33,12.099999999999993,11.999999999999993,10.0
34,12.399999999999991,11.999999999999993,10.0
35,12.399999999999991,11.999999999999993,10.0
36,12.399999999999991,11.999999999999993,10.0
37,12.399999999999991,11.999999999999993,10.0
38,12.399999999999991,11.999999999999993,10.0
39,12.399999999999991,12.099999999999993,10.0
40,12.399999999999991,12.399999999999991,10.0
41,12.399999999999991,12.399999999999991,10.0
42,12.399999999999991,12.69999999999999,10.0
43,12.399999999999991,12.69999999999999,10.0
44,12.499999999999991,12.69999999999999,10.0
45,12.59999999999999,12.69999999999999,10.0
46,12.59999999999999,12.89999999999999,10.0
47,12.69999999999999,12.89999999999999,10.0
48,12.69999999999999,13.199999999999989,10.0
49,12.69999999999999,13.399999999999988,10.0
50,12.69999999999999,13.499999999999988,10.0
51,12.79999999999999,13.499999999999988,10.0
52,12.79999999999999,13.599999999999987,10.0
53,12.79999999999999,13.699999999999987,10.0
54,12.89999999999999,13.699999999999987,10.0
55,13.199999999999989,13.699999999999987,10.0
56,13.299999999999988,13.699999999999987,10.0
57,13.299999999999988,13.799999999999986,10.0
58,13.399999999999988,13.799999999999986,10.0
59,13.399999999999988,13.799999999999986,10.0
60,13.399999999999988,13.799999999999986,10.0
61,13.399999999999988,13.999999999999986,10.0
62,13.399999999999988,14.299999999999985,10.0
63,13.499999999999988,14.299999999999985,10.0
64,13.499999999999988,14.399999999999984,10.0
65,13.799999999999986,14.399999999999984,10.0
66,13.799999999999986,14.499999999999984,10.0
67,13.799999999999986,14.499999999999984,10.0
68,13.799999999999986,14.499999999999984,10.0
69,13.799999999999986,14.499999999999984,10.0
70,13.799999999999986,14.599999999999984,10.0
71,13.899999999999986,14.599999999999984,10.0
72,13.899999999999986,14.699999999999983,10.0
73,13.999999999999986,14.699999999999983,10.0
74,13.999999999999986,14.899999999999983,10.0
75,13.999999999999986,15.199999999999982,10.0
76,14.299999999999985,15.199999999999982,10.0
77,14.299999999999985,15.299999999999981,10.0
78,14.299999999999985,15.39999999999998,10.0
79,14.299999999999985,15.49999999999998,10.0
80,14.399999999999984,15.49999999999998,10.0
81,14.699999999999983,15.49999999999998,10.0
82,14.699999999999983,15.49999999999998,10.0
83,14.699999999999983,15.79999999999998,10.0
84,14.799999999999983,15.79999999999998,10.0
85,14.799999999999983,15.899999999999979,10.0
86,14.799999999999983,15.999999999999979,10.0
87,14.899999999999983,15.999999999999979,10.0
88,14.899999999999983,16.09999999999998,10.0
89,14.899999999999983,16.09999999999998,10.0
90,14.999999999999982,16.09999999999998,10.0
91,14.999999999999982,16.19999999999998,10.0
92,14.999999999999982,16.299999999999983,10.0
93,15.099999999999982,16.299999999999983,10.0
94,15.39999999999998,16.299999999999983,10.0
95,15.39999999999998,16.599999999999987,10.0
96,15.39999999999998,16.69999999999999,10.0
97,15.39999999999998,16.79999999999999,10.0
98,15.49999999999998,16.79999999999999,10.0
99,15.69999999999998,16.79999999999999,10.0
100,15.69999999999998,16.999999999999993,10.0
101,15.69999999999998,17.099999999999994,10.0
102,15.79999999999998,17.099999999999994,10.0
103,15.79999999999998,17.199999999999996,10.0
104,15.79999999999998,17.299999999999997,10.0
105,15.79999999999998,17.4,10.0
106,15.899999999999979,17.4,10.0
107,15.899999999999979,17.5,10.0
108,15.899999999999979,17.6,10.0
109,16.19999999999998,17.6,10.0
110,16.19999999999998,17.700000000000003,10.0
111,16.299999999999983,17.700000000000003,10.0
112,16.299999999999983,17.700000000000003,10.0
113,16.299999999999983,18.000000000000007,10.0
114,16.499999999999986,18.000000000000007,10.0
115,16.499999999999986,18.20000000000001,10.0
116,16.499999999999986,18.30000000000001,10.0
117,16.69999999999999,18.30000000000001,10.0
118,16.69999999999999,18.30000000000001,10.0
119,16.79999999999999,18.30000000000001,10.0
120,17.099999999999994,18.30000000000001,10.0
121,17.199999999999996,18.30000000000001,10.0
122,17.299999999999997,18.30000000000001,10.0
123,17.299999999999997,18.500000000000014,10.0
124,17.4,18.500000000000014,10.0
125,17.5,18.500000000000014,10.0
126,17.5,18.500000000000014,10.0
127,17.6,18.500000000000014,10.0
128,17.700000000000003,18.500000000000014,10.0
129,17.800000000000004,18.500000000000014,10.0
130,17.900000000000006,18.500000000000014,10.0
131,18.000000000000007,18.500000000000014,10.0
132,18.000000000000007,18.600000000000016,10.0
133,18.000000000000007,18.700000000000017,10.0
134,18.000000000000007,18.80000000000002,10.0
135,18.10000000000001,18.80000000000002,10.0
136,18.10000000000001,18.90000000000002,10.0
137,18.10000000000001,19.200000000000024,10.0
138,18.10000000000001,19.200000000000024,10.0
139,18.20000000000001,19.200000000000024,10.0
140,18.30000000000001,19.200000000000024,10.0
141,18.30000000000001,19.50000000000003,10.0
142,18.400000000000013,19.50000000000003,10.0
143,18.400000000000013,19.70000000000003,10.0
144,18.400000000000013,19.800000000000033,10.0
145,18.400000000000013,20.000000000000036,10.0
146,18.400000000000013,20.100000000000037,10.0
147,18.500000000000014,20.100000000000037,10.0
148,18.600000000000016,20.100000000000037,10.0
149,18.700000000000017,20.100000000000037,10.0
150,18.80000000000002,20.100000000000037,10.0
151,18.80000000000002,20.40000000000004,10.0
152,18.80000000000002,20.500000000000043,10.0
153,18.80000000000002,20.600000000000044,10.0
154,18.90000000000002,20.600000000000044,10.0
155,18.90000000000002,20.800000000000047,10.0
156,18.90000000000002,20.90000000000005,10.0
157,19.100000000000023,20.90000000000005,10.0
158,19.100000000000023,21.200000000000053,10.0
159,19.100000000000023,21.300000000000054,10.0
160,19.400000000000027,21.300000000000054,10.0
161,19.400000000000027,21.400000000000055,10.0
162,19.400000000000027,21.500000000000057,10.0
163,19.400000000000027,21.80000000000006,10.0
164,19.400000000000027,21.900000000000063,10.0
165,19.50000000000003,21.900000000000063,10.0
166,19.60000000000003,21.900000000000063,10.0
167,19.60000000000003,22.200000000000067,10.0
168,19.60000000000003,22.300000000000068,10.0
169,19.800000000000033,22.300000000000068,10.0
170,19.800000000000033,22.40000000000007,10.0
171,19.800000000000033,22.50000000000007,10.0
172,19.900000000000034,22.50000000000007,10.0
173,20.000000000000036,22.50000000000007,10.0
174,20.100000000000037,22.50000000000007,10.0
175,20.20000000000004,22.50000000000007,10.0
176,20.30000000000004,22.50000000000007,10.0
177,20.40000000000004,22.50000000000007,10.0
178,20.40000000000004,22.700000000000074,10.0
179,20.700000000000045,22.700000000000074,10.0
180,21.00000000000005,22.700000000000074,10.0
181,21.00000000000005,22.700000000000074,10.0
182,21.00000000000005,22.900000000000077,10.0
183,21.10000000000005,22.900000000000077,10.0
184,21.200000000000053,22.900000000000077,10.0
185,21.200000000000053,23.000000000000078,10.0
186,21.300000000000054,23.000000000000078,10.0
187,21.60000000000006,23.000000000000078,10.0
188,21.900000000000063,23.000000000000078,10.0
189,22.000000000000064,23.000000000000078,10.0
190,22.100000000000065,23.000000000000078,10.0
191,22.100000000000065,23.300000000000082,10.0
192,22.100000000000065,23.400000000000084,10.0
193,22.200000000000067,23.400000000000084,10.0
194,22.200000000000067,23.700000000000088,10.0
195,22.300000000000068,23.700000000000088,10.0
196,22.300000000000068,23.90000000000009,10.0
