Line,{'+definite'} - False,{'-definite'} - False,{'+atomic'} - True,{'-atomic'} - True
0,10.1,10.0,10.1,10.0
1,10.2,10.0,10.2,10.0
2,10.2,10.0,10.2,10.0
3,10.2,10.1,10.299999999999999,10.0
4,10.2,10.1,10.299999999999999,10.0
5,10.2,10.1,10.299999999999999,10.0
6,10.299999999999999,10.1,10.399999999999999,10.0
7,10.299999999999999,10.2,10.499999999999998,10.0
8,10.299999999999999,10.2,10.499999999999998,10.0
9,10.299999999999999,10.2,10.499999999999998,10.0
10,10.399999999999999,10.2,10.499999999999998,10.1
11,10.399999999999999,10.2,10.499999999999998,10.1
12,10.499999999999998,10.2,10.499999999999998,10.2
13,10.499999999999998,10.2,10.499999999999998,10.2
14,10.599999999999998,10.2,10.499999999999998,10.299999999999999
15,10.699999999999998,10.2,10.599999999999998,10.299999999999999
16,10.699999999999998,10.2,10.599999999999998,10.299999999999999
17,10.699999999999998,10.2,10.599999999999998,10.299999999999999
18,10.799999999999997,10.2,10.699999999999998,10.299999999999999
19,10.799999999999997,10.2,10.699999999999998,10.299999999999999
20,10.799999999999997,10.2,10.699999999999998,10.299999999999999
21,10.799999999999997,10.299999999999999,10.799999999999997,10.299999999999999
22,10.799999999999997,10.299999999999999,10.799999999999997,10.299999999999999
23,10.899999999999997,10.299999999999999,10.799999999999997,10.399999999999999
24,10.899999999999997,10.299999999999999,10.799999999999997,10.399999999999999
25,10.999999999999996,10.299999999999999,10.899999999999997,10.399999999999999
26,10.999999999999996,10.299999999999999,10.899999999999997,10.399999999999999
27,11.099999999999996,10.299999999999999,10.899999999999997,10.499999999999998
28,11.099999999999996,10.299999999999999,10.899999999999997,10.499999999999998
29,11.199999999999996,10.299999999999999,10.999999999999996,10.499999999999998
30,11.199999999999996,10.399999999999999,11.099999999999996,10.499999999999998
31,11.199999999999996,10.399999999999999,11.099999999999996,10.499999999999998
32,11.299999999999995,10.399999999999999,11.099999999999996,10.599999999999998
33,11.299999999999995,10.399999999999999,11.099999999999996,10.599999999999998
34,11.399999999999995,10.399999999999999,11.099999999999996,10.699999999999998
35,11.399999999999995,10.399999999999999,11.099999999999996,10.699999999999998
36,11.399999999999995,10.399999999999999,11.099999999999996,10.699999999999998
37,11.399999999999995,10.399999999999999,11.099999999999996,10.699999999999998
38,11.399999999999995,10.399999999999999,11.099999999999996,10.699999999999998
39,11.399999999999995,10.399999999999999,11.099999999999996,10.699999999999998
40,11.499999999999995,10.399999999999999,11.199999999999996,10.699999999999998
41,11.499999999999995,10.399999999999999,11.199999999999996,10.699999999999998
42,11.599999999999994,10.399999999999999,11.199999999999996,10.799999999999997
43,11.599999999999994,10.399999999999999,11.199999999999996,10.799999999999997
44,11.599999999999994,10.399999999999999,11.199999999999996,10.799999999999997
45,11.599999999999994,10.399999999999999,11.199999999999996,10.799999999999997
46,11.599999999999994,10.499999999999998,11.299999999999995,10.799999999999997
47,11.599999999999994,10.499999999999998,11.299999999999995,10.799999999999997
48,11.699999999999994,10.499999999999998,11.399999999999995,10.799999999999997
49,11.799999999999994,10.499999999999998,11.399999999999995,10.899999999999997
50,11.799999999999994,10.499999999999998,11.399999999999995,10.899999999999997
51,11.899999999999993,10.499999999999998,11.399999999999995,10.999999999999996
52,11.899999999999993,10.499999999999998,11.399999999999995,10.999999999999996
53,11.999999999999993,10.499999999999998,11.499999999999995,10.999999999999996
54,12.099999999999993,10.499999999999998,11.499999999999995,11.099999999999996
55,12.099999999999993,10.599999999999998,11.599999999999994,11.099999999999996
56,12.099999999999993,10.599999999999998,11.599999999999994,11.099999999999996
57,12.099999999999993,10.599999999999998,11.599999999999994,11.099999999999996
58,12.099999999999993,10.599999999999998,11.599999999999994,11.099999999999996
59,12.099999999999993,10.599999999999998,11.599999999999994,11.099999999999996
60,12.099999999999993,10.599999999999998,11.599999999999994,11.099999999999996
61,12.199999999999992,10.599999999999998,11.599999999999994,11.199999999999996
62,12.299999999999992,10.599999999999998,11.599999999999994,11.299999999999995
63,12.399999999999991,10.599999999999998,11.699999999999994,11.299999999999995
64,12.399999999999991,10.599999999999998,11.699999999999994,11.299999999999995
65,12.499999999999991,10.599999999999998,11.799999999999994,11.299999999999995
66,12.499999999999991,10.599999999999998,11.799999999999994,11.299999999999995
67,12.499999999999991,10.599999999999998,11.799999999999994,11.299999999999995
68,12.499999999999991,10.599999999999998,11.799999999999994,11.299999999999995
69,12.499999999999991,10.599999999999998,11.799999999999994,11.299999999999995
70,12.499999999999991,10.599999999999998,11.799999999999994,11.299999999999995
71,12.499999999999991,10.599999999999998,11.799999999999994,11.299999999999995
72,12.59999999999999,10.599999999999998,11.899999999999993,11.299999999999995
73,12.59999999999999,10.699999999999998,11.999999999999993,11.299999999999995
74,12.69999999999999,10.699999999999998,12.099999999999993,11.299999999999995
75,12.79999999999999,10.699999999999998,12.199999999999992,11.299999999999995
76,12.79999999999999,10.799999999999997,12.299999999999992,11.299999999999995
77,12.79999999999999,10.799999999999997,12.299999999999992,11.299999999999995
78,12.79999999999999,10.899999999999997,12.399999999999991,11.299999999999995
79,12.79999999999999,10.899999999999997,12.399999999999991,11.299999999999995
80,12.79999999999999,10.899999999999997,12.399999999999991,11.299999999999995
81,12.89999999999999,10.899999999999997,12.499999999999991,11.299999999999995
82,12.89999999999999,10.899999999999997,12.499999999999991,11.299999999999995
83,12.99999999999999,10.899999999999997,12.499999999999991,11.399999999999995
84,13.099999999999989,10.899999999999997,12.59999999999999,11.399999999999995
85,13.099999999999989,10.899999999999997,12.59999999999999,11.399999999999995
86,13.099999999999989,10.899999999999997,12.59999999999999,11.399999999999995
87,13.099999999999989,10.899999999999997,12.59999999999999,11.399999999999995
88,13.099999999999989,10.899999999999997,12.59999999999999,11.399999999999995
89,13.099999999999989,10.899999999999997,12.59999999999999,11.399999999999995
90,13.099999999999989,10.899999999999997,12.59999999999999,11.399999999999995
91,13.099999999999989,10.899999999999997,12.59999999999999,11.399999999999995
92,13.099999999999989,10.899999999999997,12.59999999999999,11.399999999999995
93,13.099999999999989,10.899999999999997,12.59999999999999,11.399999999999995
94,13.199999999999989,10.899999999999997,12.69999999999999,11.399999999999995
95,13.199999999999989,10.999999999999996,12.79999999999999,11.399999999999995
96,13.199999999999989,10.999999999999996,12.79999999999999,11.399999999999995
97,13.199999999999989,11.099999999999996,12.89999999999999,11.399999999999995
98,13.299999999999988,11.099999999999996,12.99999999999999,11.399999999999995
99,13.399999999999988,11.099999999999996,12.99999999999999,11.499999999999995
100,13.499999999999988,11.099999999999996,12.99999999999999,11.599999999999994
101,13.499999999999988,11.099999999999996,12.99999999999999,11.599999999999994
102,13.499999999999988,11.099999999999996,12.99999999999999,11.599999999999994
103,13.499999999999988,11.099999999999996,12.99999999999999,11.599999999999994
104,13.499999999999988,11.099999999999996,12.99999999999999,11.599999999999994
105,13.499999999999988,11.099999999999996,12.99999999999999,11.599999999999994
106,13.499999999999988,11.099999999999996,12.99999999999999,11.599999999999994
107,13.499999999999988,11.099999999999996,12.99999999999999,11.599999999999994
108,13.499999999999988,11.099999999999996,12.99999999999999,11.599999999999994
109,13.499999999999988,11.199999999999996,13.099999999999989,11.599999999999994
110,13.499999999999988,11.199999999999996,13.099999999999989,11.599999999999994
