Values,Weight,BALL,BOOK,CAR,CASTLE,CHILD,CLOWN,FLOWER,FOOT,FROG,GRANDPARENT,KEY,MILKCOW,MOUSE,OFFSPRING,PIBLING,TOWER
{'+feminine'},55.900000000000546,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1
{'-feminine'},54.400000000000524,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0
set(),10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
