Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '+atomic'} - definite - o_2","{'-definite', '+atomic', '-feminine'} - definite - o_2","{'-definite', '+atomic'} - definite - o_2","{'+feminine', '-definite', '+atomic'} - definite - a_2","{'-definite', '+atomic', '-feminine'} - definite - o_3","{'+feminine', '-definite', '+atomic'} - definite - a_3","{'+feminine', '-definite', '+atomic'} - definite - a_4","{'+feminine', '+definite', '+atomic'} - definite - a_4","{'+definite', '-atomic', '-feminine'} - definite - i_2","{'+definite', '-atomic', '-feminine'} - definite - i_3","{'+feminine', '+definite', '-atomic'} - definite - e_2","{'+definite', '+atomic', '-feminine'} - definite - o_3","{'+feminine', '+definite', '-atomic'} - definite - e_4","{'+definite', '+atomic', '-feminine'} - definite - o_2","{'+definite', '-atomic', '-feminine'} - definite - i_4","{'+feminine', '+definite', '+atomic'} - definite - a_3","{'+definite', '-atomic'} - definite - i_4","{'-definite', '+atomic'} - definite - a_2","{'+feminine', '+definite', '+atomic'} - definite - a_2"
15,1.7000000000000006,1.1,1.6000000000000005,1.1,1,1.2000000000000002,1.2000000000000002,1.5000000000000004,1.2000000000000002,1.4000000000000004,1.6000000000000005,1.1,1.5000000000000004,1.1,,,,,,,
16,1.8000000000000007,1.1,1.7000000000000006,1.1,1,1.2000000000000002,1.2000000000000002,1.5000000000000004,1.2000000000000002,1.5000000000000004,1.9000000000000008,1.3000000000000003,1.5000000000000004,1.1,1,1,1,,,,
17,1.8000000000000007,1.1,1.7000000000000006,1.1,1,1.2000000000000002,1.2000000000000002,1.5000000000000004,1.2000000000000002,1.5000000000000004,1.9000000000000008,1.3000000000000003,1.5000000000000004,1.2000000000000002,1,1,1,,,,
18,1.8000000000000007,1.2000000000000002,2.200000000000001,1.2000000000000002,1.1,1.2000000000000002,1.2000000000000002,1.5000000000000004,1.2000000000000002,1.5000000000000004,2.000000000000001,1.3000000000000003,1.6000000000000005,1.2000000000000002,1,1.1,1,1,,,
19,1.9000000000000008,1.2000000000000002,2.200000000000001,1.2000000000000002,1.1,1.3000000000000003,1.3000000000000003,1.7000000000000006,1.3000000000000003,1.6000000000000005,2.000000000000001,1.3000000000000003,1.6000000000000005,1.2000000000000002,1,1.1,1,1,,,
20,1.9000000000000008,1.2000000000000002,2.300000000000001,1.3000000000000003,1.1,1.3000000000000003,1.3000000000000003,1.7000000000000006,1.3000000000000003,1.6000000000000005,2.000000000000001,1.3000000000000003,1.6000000000000005,1.2000000000000002,1,1.1,1,1,,,
21,1.9000000000000008,1.2000000000000002,2.4000000000000012,1.4000000000000004,1.2000000000000002,1.3000000000000003,1.3000000000000003,1.7000000000000006,1.3000000000000003,1.6000000000000005,2.000000000000001,1.3000000000000003,1.6000000000000005,1.2000000000000002,1,1.1,1,1,,,
22,2.000000000000001,1.2000000000000002,2.4000000000000012,1.4000000000000004,1.2000000000000002,1.4000000000000004,1.4000000000000004,1.9000000000000008,1.4000000000000004,1.7000000000000006,2.000000000000001,1.3000000000000003,1.6000000000000005,1.2000000000000002,1,1.1,1,1,,,
23,2.100000000000001,1.2000000000000002,2.5000000000000013,1.4000000000000004,1.2000000000000002,1.4000000000000004,1.4000000000000004,1.9000000000000008,1.4000000000000004,1.8000000000000007,2.000000000000001,1.3000000000000003,1.6000000000000005,1.2000000000000002,1,1.1,1.1,1,1.2000000000000002,,
24,2.100000000000001,1.2000000000000002,2.6000000000000014,1.5000000000000004,1.2000000000000002,1.4000000000000004,1.4000000000000004,1.9000000000000008,1.4000000000000004,1.8000000000000007,2.000000000000001,1.3000000000000003,1.6000000000000005,1.2000000000000002,1,1.1,1.1,1,1.2000000000000002,,
25,2.100000000000001,1.2000000000000002,2.6000000000000014,1.5000000000000004,1.2000000000000002,1.4000000000000004,1.4000000000000004,1.9000000000000008,1.4000000000000004,1.8000000000000007,2.000000000000001,1.3000000000000003,1.6000000000000005,1.3000000000000003,1,1.2000000000000002,1.1,1,1.2000000000000002,,
26,2.100000000000001,1.2000000000000002,2.6000000000000014,1.5000000000000004,1.2000000000000002,1.4000000000000004,1.4000000000000004,1.9000000000000008,1.4000000000000004,1.8000000000000007,2.000000000000001,1.3000000000000003,1.6000000000000005,1.4000000000000004,1,1.2000000000000002,1.1,1,1.2000000000000002,,
27,2.200000000000001,1.2000000000000002,2.7000000000000015,1.5000000000000004,1.2000000000000002,1.4000000000000004,1.4000000000000004,1.9000000000000008,1.4000000000000004,1.9000000000000008,2.000000000000001,1.3000000000000003,1.7000000000000006,1.4000000000000004,1,1.2000000000000002,1.1,1,1.5000000000000004,,
28,2.300000000000001,1.2000000000000002,2.7000000000000015,1.5000000000000004,1.2000000000000002,1.4000000000000004,1.5000000000000004,1.9000000000000008,1.4000000000000004,1.9000000000000008,2.000000000000001,1.3000000000000003,1.7000000000000006,1.4000000000000004,1,1.2000000000000002,1.1,1,1.5000000000000004,1.1,1
29,2.300000000000001,1.2000000000000002,2.7000000000000015,1.5000000000000004,1.2000000000000002,1.4000000000000004,1.5000000000000004,1.9000000000000008,1.4000000000000004,1.9000000000000008,2.000000000000001,1.3000000000000003,1.7000000000000006,1.4000000000000004,1,1.2000000000000002,1.1,1.1,1.5000000000000004,1.1,1
30,2.300000000000001,1.2000000000000002,2.8000000000000016,1.7000000000000006,1.2000000000000002,1.4000000000000004,1.5000000000000004,1.9000000000000008,1.4000000000000004,1.9000000000000008,2.000000000000001,1.3000000000000003,1.7000000000000006,1.4000000000000004,1,1.2000000000000002,1.1,1.1,1.5000000000000004,1.1,1
31,2.300000000000001,1.2000000000000002,2.8000000000000016,1.7000000000000006,1.2000000000000002,1.4000000000000004,1.5000000000000004,1.9000000000000008,1.4000000000000004,1.9000000000000008,2.000000000000001,1.3000000000000003,1.7000000000000006,1.4000000000000004,1,1.2000000000000002,1.1,1.1,1.5000000000000004,1.1,1
32,2.4000000000000012,1.2000000000000002,2.9000000000000017,1.7000000000000006,1.2000000000000002,1.4000000000000004,1.5000000000000004,1.9000000000000008,1.4000000000000004,1.9000000000000008,2.000000000000001,1.3000000000000003,2.000000000000001,1.4000000000000004,1,1.2000000000000002,1.1,1.1,1.5000000000000004,1.1,1
33,2.4000000000000012,1.2000000000000002,3.0000000000000018,1.8000000000000007,1.2000000000000002,1.4000000000000004,1.5000000000000004,1.9000000000000008,1.4000000000000004,1.9000000000000008,2.000000000000001,1.3000000000000003,2.000000000000001,1.4000000000000004,1,1.2000000000000002,1.1,1.1,1.5000000000000004,1.1,1
34,2.5000000000000013,1.2000000000000002,3.100000000000002,1.8000000000000007,1.2000000000000002,1.4000000000000004,1.5000000000000004,1.9000000000000008,1.4000000000000004,1.9000000000000008,2.000000000000001,1.3000000000000003,2.300000000000001,1.4000000000000004,1,1.2000000000000002,1.1,1.1,1.5000000000000004,1.1,1
